time_chanNI9205_2,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
1.775875849709728e+18,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125
1.7758758497107284e+18,-269.8143005371094,-300.1722106933594,-288.6730041503906,-272.3441162109375,-267.0544738769531,-289.1329650878906,-289.5929260253906,-274.1839904785156,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969
1.775875849711729e+18,-297.64239501953125,-283.61334228515625,-270.7342224121094,-310.5215148925781,-265.214599609375,-279.70361328125,-289.1329650878906,-280.6235656738281,108.25556945800781,43.30222702026367,43.30222702026367,-299.0869140625
1.7758758497127293e+18,-297.1824035644531,-279.70361328125,-294.422607421875,-289.3629455566406,-282.92340087890625,-285.9131774902344,-263.8346862792969,-297.1824035644531,108.25556945800781,43.30222702026367,43.30222702026367,-299.9185485839844
1.77587584971373e+18,-296.9524230957031,-284.5332946777344,-291.20281982421875,-295.342529296875,-284.07330322265625,-293.2726745605469,-266.5945129394531,-303.1620178222656,108.25556945800781,43.30222702026367,43.30222702026367,-300.4883728027344
1.7758758497147305e+18,-267.5144348144531,-303.6219787597656,-287.7530517578125,-294.192626953125,-302.0120849609375,-273.4940490722656,-297.41241455078125,-295.8025207519531,108.25556945800781,43.30222702026367,43.30222702026367,-299.6413269042969
1.775875849715731e+18,-276.25384521484375,-303.1620178222656,-326.8503723144531,-301.5521240234375,-276.02386474609375,-295.8025207519531,-306.38177490234375,-300.8621520996094,108.25556945800781,43.30222702026367,43.30222702026367,-299.1947021484375
1.7758758497167314e+18,-299.2522888183594,-325.010498046875,-299.2522888183594,-326.8503723144531,-300.8621520996094,-318.8009338378906,-292.1227722167969,-334.4398498535156,108.25556945800781,43.30222702026367,43.30222702026367,-302.1516418457031
1.775875849717732e+18,-296.7224426269531,-288.9029846191406,-316.2711181640625,-311.4414367675781,-278.0937194824219,-305.92181396484375,-322.7106628417969,-305.23187255859375,108.25556945800781,43.30222702026367,43.30222702026367,-300.08795166015625
1.7758758497187325e+18,-313.97125244140625,-301.7821044921875,-323.400634765625,-318.5709533691406,-284.7632751464844,-315.1211853027344,-296.0325012207031,-282.46343994140625,108.25556945800781,43.30222702026367,43.30222702026367,-301.181396484375
