time_chanNI9264_1,ER_N2_06_state,ER_GO2_03_state,Accel_state
1.7758758497164823e+18,0.0,0.0,0.0
1.7758758497236214e+18,0.0,0.0,0.0
1.7758758497306578e+18,0.0,0.0,0.0
1.7758758497376883e+18,0.0,0.0,0.0
1.7758758497447828e+18,0.0,0.0,0.0
1.7758758497519022e+18,0.0,0.0,0.0
1.7758758497590346e+18,0.0,0.0,0.0
1.775875849766535e+18,0.0,0.0,0.0
1.7758758497736466e+18,0.0,0.0,0.0
1.7758758497807457e+18,0.0,0.0,0.0
1.775875849789097e+18,0.0,0.0,0.0
1.775875849796501e+18,0.0,0.0,0.0
1.7758758498036672e+18,0.0,0.0,0.0
1.7758758498105892e+18,0.0,0.0,0.0
1.7758758498178877e+18,0.0,0.0,0.0
1.7758758498249467e+18,0.0,0.0,0.0
1.7758758498319066e+18,0.0,0.0,0.0
1.775875849838943e+18,0.0,0.0,0.0
1.7758758498458232e+18,0.0,0.0,0.0
1.775875849852928e+18,0.0,0.0,0.0
1.7758758498604485e+18,0.0,0.0,0.0
1.7758758498682696e+18,0.0,0.0,0.0
1.7758758498753618e+18,0.0,0.0,0.0
1.7758758498831552e+18,0.0,0.0,0.0
1.7758758498913876e+18,0.0,0.0,0.0
1.7758758498990525e+18,0.0,0.0,0.0
1.7758758499069284e+18,0.0,0.0,0.0
1.7758758499141407e+18,0.0,0.0,0.0
1.7758758499222036e+18,0.0,0.0,0.0
1.7758758499296486e+18,0.0,0.0,0.0
1.7758758499371835e+18,0.0,0.0,0.0
1.775875849944656e+18,0.0,0.0,0.0
1.7758758499524332e+18,0.0,0.0,0.0
1.7758758499620506e+18,0.0,0.0,0.0
1.775875849970002e+18,0.0,0.0,0.0
1.7758758499775844e+18,0.0,0.0,0.0
1.7758758499851863e+18,0.0,0.0,0.0
1.7758758499925212e+18,0.0,0.0,0.0
1.775875850000857e+18,0.0,0.0,0.0
1.7758758500080914e+18,0.0,0.0,0.0
1.775875850015228e+18,0.0,0.0,0.0
1.7758758500226158e+18,0.0,0.0,0.0
1.7758758500303324e+18,0.0,0.0,0.0
1.7758758500380186e+18,0.0,0.0,0.0
1.7758758500451988e+18,0.0,0.0,0.0
1.7758758500526052e+18,0.0,0.0,0.0
1.775875850060009e+18,0.0,0.0,0.0
1.7758758500669704e+18,0.0,0.0,0.0
1.7758758500742697e+18,0.0,0.0,0.0
1.7758758500813143e+18,0.0,0.0,0.0
1.775875850088413e+18,0.0,0.0,0.0
1.7758758500953874e+18,0.0,0.0,0.0
1.7758758501024223e+18,0.0,0.0,0.0
1.7758758501095245e+18,0.0,0.0,0.0
1.7758758501165402e+18,0.0,0.0,0.0
1.7758758501236099e+18,0.0,0.0,0.0
1.7758758501307402e+18,0.0,0.0,0.0
1.7758758501377743e+18,0.0,0.0,0.0
1.7758758501447122e+18,0.0,0.0,0.0
1.7758758501516454e+18,0.0,0.0,0.0
1.7758758501585697e+18,0.0,0.0,0.0
1.7758758501655713e+18,0.0,0.0,0.0
1.7758758501727882e+18,0.0,0.0,0.0
1.7758758501799424e+18,0.0,0.0,0.0
1.7758758501868844e+18,0.0,0.0,0.0
1.7758758501939773e+18,0.0,0.0,0.0
1.7758758502011036e+18,0.0,0.0,0.0
1.7758758502082296e+18,0.0,0.0,0.0
1.7758758502155482e+18,0.0,0.0,0.0
1.7758758502226235e+18,0.0,0.0,0.0
1.775875850229733e+18,0.0,0.0,0.0
1.7758758502368282e+18,0.0,0.0,0.0
1.7758758502437921e+18,0.0,0.0,0.0
1.775875850250858e+18,0.0,0.0,0.0
1.7758758502577994e+18,0.0,0.0,0.0
1.7758758502647882e+18,0.0,0.0,0.0
1.7758758502721234e+18,0.0,0.0,0.0
1.7758758502791452e+18,0.0,0.0,0.0
1.7758758502861038e+18,0.0,0.0,0.0
1.7758758502931917e+18,0.0,0.0,0.0
1.775875850300145e+18,0.0,0.0,0.0
1.7758758503073216e+18,0.0,0.0,0.0
1.7758758503145165e+18,0.0,0.0,0.0
1.775875850322021e+18,0.0,0.0,0.0
1.7758758503295322e+18,0.0,0.0,0.0
1.7758758503366623e+18,0.0,0.0,0.0
1.7758758503437133e+18,0.0,0.0,0.0
1.7758758503506524e+18,0.0,0.0,0.0
1.7758758503577044e+18,0.0,0.0,0.0
1.775875850364753e+18,0.0,0.0,0.0
1.7758758503719084e+18,0.0,0.0,0.0
1.7758758503788552e+18,0.0,0.0,0.0
1.7758758503857915e+18,0.0,0.0,0.0
1.7758758503929121e+18,0.0,0.0,0.0
1.775875850399895e+18,0.0,0.0,0.0
1.775875850406955e+18,0.0,0.0,0.0
1.77587585041605e+18,0.0,0.0,0.0
1.7758758504231357e+18,0.0,0.0,0.0
1.7758758504302162e+18,0.0,0.0,0.0
1.7758758504373944e+18,0.0,0.0,0.0
1.7758758504443676e+18,0.0,0.0,0.0
1.775875850451435e+18,0.0,0.0,0.0
1.7758758504584369e+18,0.0,0.0,0.0
1.7758758504654817e+18,0.0,0.0,0.0
1.7758758504724626e+18,0.0,0.0,0.0
1.7758758504798804e+18,0.0,0.0,0.0
1.7758758504870047e+18,0.0,0.0,0.0
1.7758758504939727e+18,0.0,0.0,0.0
1.775875850501034e+18,0.0,0.0,0.0
1.7758758505082424e+18,0.0,0.0,0.0
1.7758758505153838e+18,0.0,0.0,0.0
1.7758758505223532e+18,0.0,0.0,0.0
1.7758758505295286e+18,0.0,0.0,0.0
1.7758758505364562e+18,0.0,0.0,0.0
1.7758758505434842e+18,0.0,0.0,0.0
1.7758758505505836e+18,0.0,0.0,0.0
