time,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2,PT_H2_03,PT_LO2_03,PT_LO2_04,PT_TI_01,PT_GG_01,PT_FU_04,Accel_AI,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07,ER_N2_06_state,ER_GO2_03_state,Accel_state,PV_N2_17_state,PV_N2_18_state,PV_N2_19_state,PV_LO2_03_state,PV_LO2_05_state,PV_LO2_01_state,PV_GO2_04_state,PV_FU_02_state,PV_FU_04_state,PV_LO2_04_state,SN_N2_08_state,SN_N2_09_state,SN_GO2_05_state,SN_H2_03_state,SN_N2_20_state,SN_N2_13_state,SN_N2_22_state,SN_N2_10_1_state,SN_N2_10_2_state,SN_CO2_01_state,SN_N2_11_state,SN_N2_12_state,Spark_Plug_state
1.775875849709728e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497097766e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497099228e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497100733e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775875849710076e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-273.2640686035156,-299.9422302246094,-294.652587890625,-280.3935546875,-275.33392333984375,-297.1824035644531,-266.1345520019531,-257.3951416015625,108.25556945800781,43.30222702026367,43.30222702026367,-299.9493408203125,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497107284e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-269.8143005371094,-300.1722106933594,-288.6730041503906,-272.3441162109375,-267.0544738769531,-289.1329650878906,-289.5929260253906,-274.1839904785156,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969,-215.7218780517578,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497107766e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.1253662109375,-1251.1202392578125,-375.3045959472656,-75.00577545166016,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.59515380859375,-269.8143005371094,-300.1722106933594,-288.6730041503906,-272.3441162109375,-267.0544738769531,-289.1329650878906,-289.5929260253906,-274.1839904785156,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775875849710923e+18,-375.3422546386719,-1251.1383056640625,-375.001708984375,-74.95841979980469,-499.72186279296875,-374.69622802734375,-366.41259765625,-374.5784912109375,-375.06390380859375,-1250.7103271484375,-375.24310302734375,-75.01807403564453,-75.06078338623047,-75.05381774902344,-500.1142272949219,-375.4562683105469,-269.8143005371094,-300.1722106933594,-288.6730041503906,-272.3441162109375,-267.0544738769531,-289.1329650878906,-289.5929260253906,-274.1839904785156,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7758758497110758e+18,-374.8807067871094,-1248.6763916015625,-374.7554626464844,-74.9399642944336,-499.80389404296875,-374.8193054199219,-368.321044921875,-374.947509765625,-375.06390380859375,-1250.7103271484375,-375.24310302734375,-75.01807403564453,-75.06078338623047,-75.05381774902344,-500.1142272949219,-375.4562683105469,-269.8143005371094,-300.1722106933594,-288.6730041503906,-272.3441162109375,-267.0544738769531,-289.1329650878906,-289.5929260253906,-274.1839904785156,108.25556945800781,43.30222702026367,43.30222702026367,-299.4411315917969,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.775875849711729e+18,-374.8807067871094,-1248.6763916015625,-374.7554626464844,-74.9399642944336,-499.80389404296875,-374.8193054199219,-368.321044921875,-374.947509765625,-375.06390380859375,-1250.7103271484375,-375.24310302734375,-75.01807403564453,-75.06078338623047,-75.05381774902344,-500.1142272949219,-375.4562683105469,-297.64239501953125,-283.61334228515625,-270.7342224121094,-310.5215148925781,-265.214599609375,-279.70361328125,-289.1329650878906,-280.6235656738281,108.25556945800781,43.30222702026367,43.30222702026367,-299.0869140625,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812,2297.8583984375,22.016963958740234,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,24.57840919494629,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,2297.8583984375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
