time_chanNI9213_1,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
1.7764685523408205e+18,2310.750244140625,2310.750244140625,24.427629470825195,2310.750244140625,24.39162826538086,24.51601219177246,24.493167877197266,30.660940170288086,30.7208194732666,2310.750244140625,2310.750244140625,2310.750244140625,2310.750244140625,2310.750244140625
1.7764685523533207e+18,2310.7119140625,2310.7119140625,24.44401741027832,2310.7119140625,24.516014099121094,24.502399444580078,24.572317123413086,30.80272102355957,30.583393096923828,2310.7119140625,2310.7119140625,2310.7119140625,2310.7119140625,2310.7119140625
1.7764685523658207e+18,2310.797119140625,2310.797119140625,24.43433952331543,2310.797119140625,24.524106979370117,24.48326301574707,24.501955032348633,30.856643676757812,30.671512603759766,2310.797119140625,2310.797119140625,2310.797119140625,2310.797119140625,2310.797119140625
1.776468552378321e+18,2310.6064453125,2310.6064453125,24.423372268676758,2310.6064453125,24.369600296020508,24.400985717773438,24.38575553894043,30.714981079101562,30.643171310424805,2310.6064453125,2310.6064453125,2310.6064453125,2310.6064453125,2310.6064453125
1.7764685523908198e+18,2310.685546875,2310.685546875,24.47843360900879,2310.685546875,24.4874324798584,24.511432647705078,24.432048797607422,30.82087516784668,30.68896484375,2310.685546875,2310.685546875,2310.685546875,2310.685546875,2310.685546875
1.7764685524033185e+18,2310.783447265625,2310.783447265625,24.472545623779297,2310.783447265625,24.448083877563477,24.566925048828125,24.4663143157959,30.787723541259766,30.683570861816406,2310.783447265625,2310.783447265625,2310.783447265625,2310.783447265625,2310.783447265625
1.7764685524158172e+18,2310.598876953125,2310.598876953125,24.343414306640625,2310.598876953125,24.341567993164062,24.426727294921875,24.381494522094727,30.72542953491211,30.634807586669922,2310.598876953125,2310.598876953125,2310.598876953125,2310.598876953125,2310.598876953125
1.776468552428316e+18,2310.732177734375,2310.732177734375,24.45115089416504,2310.732177734375,24.491073608398438,24.52014923095703,24.483457565307617,30.70864486694336,30.7015323638916,2310.732177734375,2310.732177734375,2310.732177734375,2310.732177734375,2310.732177734375
1.776468552440815e+18,2310.5068359375,2310.5068359375,24.387392044067383,2310.5068359375,24.269685745239258,24.304306030273438,24.383007049560547,30.642274856567383,30.594322204589844,2310.5068359375,2310.5068359375,2310.5068359375,2310.5068359375,2310.5068359375
1.776468552453314e+18,2310.76416015625,2310.76416015625,24.53418731689453,2310.76416015625,24.4815731048584,24.428266525268555,24.405189514160156,30.74233055114746,30.77582359313965,2310.76416015625,2310.76416015625,2310.76416015625,2310.76416015625,2310.76416015625
1.7764685524658132e+18,2310.73876953125,2310.73876953125,24.420141220092773,2310.73876953125,24.451757431030273,24.469295501708984,24.493064880371094,30.73975944519043,30.76384735107422,2310.73876953125,2310.73876953125,2310.73876953125,2310.73876953125,2310.73876953125
1.7764685524783122e+18,2310.7451171875,2310.7451171875,24.4168701171875,2310.7451171875,24.585323333740234,24.57078742980957,24.5454044342041,30.79936408996582,30.6440486907959,2310.7451171875,2310.7451171875,2310.7451171875,2310.7451171875,2310.7451171875
1.7764685524908134e+18,2310.803466796875,2310.803466796875,24.467082977294922,2310.803466796875,24.573230743408203,24.489234924316406,24.489234924316406,30.758434295654297,30.73113441467285,2310.803466796875,2310.803466796875,2310.803466796875,2310.803466796875,2310.803466796875
1.7764685525033144e+18,2310.564697265625,2310.564697265625,24.3974609375,2310.564697265625,24.37392234802246,24.452848434448242,24.340688705444336,30.690370559692383,30.734878540039062,2310.564697265625,2310.564697265625,2310.564697265625,2310.564697265625,2310.564697265625
1.7764685525158154e+18,2310.60302734375,2310.60302734375,24.3378849029541,2310.60302734375,24.386581420898438,24.468505859375,24.393274307250977,30.754114151000977,30.70134925842285,2310.60302734375,2310.60302734375,2310.60302734375,2310.60302734375,2310.60302734375
1.7764685525283167e+18,2310.58837890625,2310.58837890625,24.33175277709961,2310.58837890625,24.4217586517334,24.351139068603516,24.421297073364258,30.666576385498047,30.561721801757812,2310.58837890625,2310.58837890625,2310.58837890625,2310.58837890625,2310.58837890625
1.7764685525408154e+18,2310.705078125,2310.705078125,24.41512107849121,2310.705078125,24.51273536682129,24.43889045715332,24.45642852783203,30.805883407592773,30.713891983032227,2310.705078125,2310.705078125,2310.705078125,2310.705078125,2310.705078125
1.7764685525533143e+18,2310.671875,2310.671875,24.54387855529785,2310.671875,24.388803482055664,24.4501895904541,24.426420211791992,30.814132690429688,30.655607223510742,2310.671875,2310.671875,2310.671875,2310.671875,2310.671875
1.7764685525658132e+18,2310.7001953125,2310.7001953125,24.47395133972168,2310.7001953125,24.44141387939453,24.478567123413086,24.358793258666992,30.73406410217285,30.6950626373291,2310.7001953125,2310.7001953125,2310.7001953125,2310.7001953125,2310.7001953125
1.7764685525783122e+18,2310.778564453125,2310.778564453125,24.442529678344727,2310.778564453125,24.466068267822266,24.452220916748047,24.481990814208984,30.863407135009766,30.70397186279297,2310.778564453125,2310.778564453125,2310.778564453125,2310.778564453125,2310.778564453125
1.7764685525908127e+18,2310.743896484375,2310.743896484375,24.46662139892578,2310.743896484375,24.434314727783203,24.541156768798828,24.48369789123535,30.791929244995117,30.69809913635254,2310.743896484375,2310.743896484375,2310.743896484375,2310.743896484375,2310.743896484375
1.7764685526033132e+18,2310.54736328125,2310.54736328125,24.355527877807617,2310.54736328125,24.319061279296875,24.454994201660156,24.30682945251465,30.78059959411621,30.466957092285156,2310.54736328125,2310.54736328125,2310.54736328125,2310.54736328125,2310.54736328125
1.776468552615814e+18,2310.658447265625,2310.658447265625,24.442697525024414,2310.658447265625,24.508695602416992,24.471542358398438,24.383386611938477,30.757593154907227,30.666284561157227,2310.658447265625,2310.658447265625,2310.658447265625,2310.658447265625,2310.658447265625
1.7764685526283144e+18,2310.55859375,2310.55859375,24.308218002319336,2310.55859375,24.382070541381836,24.366840362548828,24.33868408203125,30.708566665649414,30.626201629638672,2310.55859375,2310.55859375,2310.55859375,2310.55859375,2310.55859375
1.776468552640814e+18,2310.522705078125,2310.522705078125,24.270950317382812,2310.522705078125,24.32426643371582,24.42904281616211,24.387271881103516,30.654773712158203,30.63343620300293,2310.522705078125,2310.522705078125,2310.522705078125,2310.522705078125,2310.522705078125
1.7764685526533135e+18,2310.769287109375,2310.769287109375,24.46776008605957,2310.769287109375,24.454143524169922,24.548294067382812,24.488758087158203,30.810035705566406,30.8095760345459,2310.769287109375,2310.769287109375,2310.769287109375,2310.769287109375,2310.769287109375
1.7764685526658132e+18,2310.674072265625,2310.674072265625,24.455554962158203,2310.674072265625,24.47655487060547,24.376169204711914,24.48463249206543,30.790103912353516,30.62859344482422,2310.674072265625,2310.674072265625,2310.674072265625,2310.674072265625,2310.674072265625
1.776468552678313e+18,2310.680908203125,2310.680908203125,24.44695472717285,2310.680908203125,24.482723236083984,24.49380111694336,24.41349220275879,30.72030258178711,30.618206024169922,2310.680908203125,2310.680908203125,2310.680908203125,2310.680908203125,2310.680908203125
1.7764685526908116e+18,2310.8076171875,2310.8076171875,24.563173294067383,2310.8076171875,24.50017738342285,24.476640701293945,24.45679473876953,30.8021183013916,30.6575870513916,2310.8076171875,2310.8076171875,2310.8076171875,2310.8076171875,2310.8076171875
1.77646855270331e+18,2310.818359375,2310.818359375,24.42188835144043,2310.818359375,24.55019187927246,24.465734481811523,24.423734664916992,30.79999351501465,30.667163848876953,2310.818359375,2310.818359375,2310.818359375,2310.818359375,2310.818359375
1.7764685527158088e+18,2310.642822265625,2310.642822265625,24.33517074584961,2310.642822265625,24.45771598815918,24.603551864624023,24.407175064086914,30.733293533325195,30.742929458618164,2310.642822265625,2310.642822265625,2310.642822265625,2310.642822265625,2310.642822265625
1.7764685527283075e+18,2310.806396484375,2310.806396484375,24.551685333251953,2310.806396484375,24.563915252685547,24.489381790161133,24.433305740356445,30.872591018676758,30.74711036682129,2310.806396484375,2310.806396484375,2310.806396484375,2310.806396484375,2310.806396484375
1.776468552740807e+18,2310.733154296875,2310.733154296875,24.42643928527832,2310.733154296875,24.369205474853516,24.497514724731445,24.452978134155273,30.75519561767578,30.74716567993164,2310.733154296875,2310.733154296875,2310.733154296875,2310.733154296875,2310.733154296875
1.7764685527533064e+18,2310.535888671875,2310.535888671875,24.357913970947266,2310.535888671875,24.338987350463867,24.36876106262207,24.442378997802734,30.61549186706543,30.703134536743164,2310.535888671875,2310.535888671875,2310.535888671875,2310.535888671875,2310.535888671875
1.7764685527658058e+18,2310.656494140625,2310.656494140625,24.334611892700195,2310.656494140625,24.417001724243164,24.39692497253418,24.498462677001953,30.676071166992188,30.576953887939453,2310.656494140625,2310.656494140625,2310.656494140625,2310.656494140625,2310.656494140625
1.7764685527783053e+18,2310.646240234375,2310.646240234375,24.43416404724121,2310.646240234375,24.421701431274414,24.470394134521484,24.30884552001953,30.754615783691406,30.608470916748047,2310.646240234375,2310.646240234375,2310.646240234375,2310.646240234375,2310.646240234375
1.7764685527908042e+18,2310.830322265625,2310.830322265625,24.526012420654297,2310.830322265625,24.466245651245117,24.53108787536621,24.57516098022461,30.872529983520508,30.714242935180664,2310.830322265625,2310.830322265625,2310.830322265625,2310.830322265625,2310.830322265625
1.776468552803303e+18,2310.714111328125,2310.714111328125,24.443456649780273,2310.714111328125,24.485918045043945,24.487764358520508,24.454072952270508,30.88336944580078,30.57549476623535,2310.714111328125,2310.714111328125,2310.714111328125,2310.714111328125,2310.714111328125
1.7764685528158019e+18,2310.68505859375,2310.68505859375,24.39539909362793,2310.68505859375,24.41155242919922,24.469707489013672,24.448246002197266,30.825965881347656,30.573143005371094,2310.68505859375,2310.68505859375,2310.68505859375,2310.68505859375,2310.68505859375
1.7764685528283005e+18,2310.770751953125,2310.770751953125,24.466218948364258,2310.770751953125,24.489526748657227,24.598440170288086,24.5195255279541,30.788087844848633,30.740371704101562,2310.770751953125,2310.770751953125,2310.770751953125,2310.770751953125,2310.770751953125
1.776468552840799e+18,2310.77734375,2310.77734375,24.5317325592041,2310.77734375,24.532886505126953,24.48719596862793,24.534040451049805,30.81169319152832,30.64972686767578,2310.77734375,2310.77734375,2310.77734375,2310.77734375,2310.77734375
1.7764685528532974e+18,2310.795166015625,2310.795166015625,24.50806999206543,2310.795166015625,24.460533142089844,24.444610595703125,24.46445655822754,30.8140926361084,30.764999389648438,2310.795166015625,2310.795166015625,2310.795166015625,2310.795166015625,2310.795166015625
1.7764685528657958e+18,2310.7373046875,2310.7373046875,24.4837589263916,2310.7373046875,24.44914436340332,24.488605499267578,24.429990768432617,30.738079071044922,30.757349014282227,2310.7373046875,2310.7373046875,2310.7373046875,2310.7373046875,2310.7373046875
1.7764685528782943e+18,2310.672119140625,2310.672119140625,24.44994354248047,2310.672119140625,24.33709144592285,24.514328002929688,24.389711380004883,30.750802993774414,30.638845443725586,2310.672119140625,2310.672119140625,2310.672119140625,2310.672119140625,2310.672119140625
1.776468552890795e+18,2310.701416015625,2310.701416015625,24.388046264648438,2310.701416015625,24.450355529785156,24.482200622558594,24.4951229095459,30.752817153930664,30.779659271240234,2310.701416015625,2310.701416015625,2310.701416015625,2310.701416015625,2310.701416015625
1.7764685529032957e+18,2310.749755859375,2310.749755859375,24.3936767578125,2310.749755859375,24.650968551635742,24.539060592651367,24.442371368408203,30.821500778198242,30.749467849731445,2310.749755859375,2310.749755859375,2310.749755859375,2310.749755859375,2310.749755859375
1.7764685529157962e+18,2310.880615234375,2310.880615234375,24.555538177490234,2310.880615234375,24.58022689819336,24.607223510742188,24.39977264404297,30.8738956451416,30.861509323120117,2310.880615234375,2310.880615234375,2310.880615234375,2310.880615234375,2310.880615234375
1.776468552928297e+18,2310.67138671875,2310.67138671875,24.35468864440918,2310.67138671875,24.36138153076172,24.4444637298584,24.46177101135254,30.697864532470703,30.711172103881836,2310.67138671875,2310.67138671875,2310.67138671875,2310.67138671875,2310.67138671875
1.7764685529407972e+18,2310.764892578125,2310.764892578125,24.39615249633789,2310.764892578125,24.457307815551758,24.513381958007812,24.50322914123535,30.790239334106445,30.845523834228516,2310.764892578125,2310.764892578125,2310.764892578125,2310.764892578125,2310.764892578125
1.7764685529532972e+18,2310.457275390625,2310.457275390625,24.27198600769043,2310.457275390625,24.289525985717773,24.253982543945312,24.23921012878418,30.63286018371582,30.526395797729492,2310.457275390625,2310.457275390625,2310.457275390625,2310.457275390625,2310.457275390625
1.7764685529657974e+18,2310.68408203125,2310.68408203125,24.416324615478516,2310.68408203125,24.440093994140625,24.524784088134766,24.462017059326172,30.80157470703125,30.756839752197266,2310.68408203125,2310.68408203125,2310.68408203125,2310.68408203125,2310.68408203125
