time_chanNI9264_1,ER_N2_06_state,ER_GO2_03_state,Accel_state
1.7764678594831854e+18,0.0,0.0,0.0
1.776467859490086e+18,0.0,0.0,0.0
1.776467859501697e+18,0.0,0.0,0.0
1.7764678595088727e+18,0.0,0.0,0.0
1.7764678595158897e+18,0.0,0.0,0.0
1.7764678595233295e+18,0.0,0.0,0.0
1.7764678595303826e+18,0.0,0.0,0.0
1.7764678595373345e+18,0.0,0.0,0.0
1.7764678595443003e+18,0.0,0.0,0.0
1.7764678595513198e+18,0.0,0.0,0.0
1.7764678595582723e+18,0.0,0.0,0.0
1.7764678595652928e+18,0.0,0.0,0.0
1.7764678595723382e+18,0.0,0.0,0.0
1.7764678595792827e+18,0.0,0.0,0.0
1.7764678595862756e+18,0.0,0.0,0.0
1.7764678595980751e+18,0.0,0.0,0.0
1.776467859605054e+18,0.0,0.0,0.0
1.776467859611999e+18,0.0,0.0,0.0
1.7764678596190533e+18,0.0,0.0,0.0
1.7764678596261921e+18,0.0,0.0,0.0
1.7764678596341028e+18,0.0,0.0,0.0
1.7764678596415747e+18,0.0,0.0,0.0
1.7764678596494339e+18,0.0,0.0,0.0
1.7764678596570483e+18,0.0,0.0,0.0
1.7764678596639373e+18,0.0,0.0,0.0
1.7764678596709868e+18,0.0,0.0,0.0
1.776467859678001e+18,0.0,0.0,0.0
1.7764678596851604e+18,0.0,0.0,0.0
1.7764678596920993e+18,0.0,0.0,0.0
1.7764678597034752e+18,0.0,0.0,0.0
1.7764678597108326e+18,0.0,0.0,0.0
1.7764678597186015e+18,0.0,0.0,0.0
1.7764678597259036e+18,0.0,0.0,0.0
1.776467859732957e+18,0.0,0.0,0.0
1.7764678597404874e+18,0.0,0.0,0.0
1.7764678597481347e+18,0.0,0.0,0.0
1.7764678597563154e+18,0.0,0.0,0.0
1.7764678597633126e+18,0.0,0.0,0.0
1.776467859770463e+18,0.0,0.0,0.0
1.776467859778338e+18,0.0,0.0,0.0
1.7764678597859128e+18,0.0,0.0,0.0
1.7764678597929413e+18,0.0,0.0,0.0
1.776467859801898e+18,0.0,0.0,0.0
1.7764678598099126e+18,0.0,0.0,0.0
1.776467859817013e+18,0.0,0.0,0.0
1.7764678598258463e+18,0.0,0.0,0.0
1.7764678598329969e+18,0.0,0.0,0.0
1.7764678598405e+18,0.0,0.0,0.0
1.776467859847628e+18,0.0,0.0,0.0
1.7764678598546493e+18,0.0,0.0,0.0
1.7764678598617746e+18,0.0,0.0,0.0
1.776467859868921e+18,0.0,0.0,0.0
1.776467859876312e+18,0.0,0.0,0.0
1.776467859883735e+18,0.0,0.0,0.0
1.7764678598907146e+18,0.0,0.0,0.0
1.7764678599008054e+18,0.0,0.0,0.0
1.7764678599085297e+18,0.0,0.0,0.0
1.776467859915747e+18,0.0,0.0,0.0
1.7764678599227226e+18,0.0,0.0,0.0
1.7764678599296806e+18,0.0,0.0,0.0
1.7764678599366106e+18,0.0,0.0,0.0
1.7764678599435963e+18,0.0,0.0,0.0
1.7764678599506967e+18,0.0,0.0,0.0
1.7764678599578107e+18,0.0,0.0,0.0
1.776467859964916e+18,0.0,0.0,0.0
1.776467859971914e+18,0.0,0.0,0.0
1.7764678599791345e+18,0.0,0.0,0.0
1.7764678599864412e+18,0.0,0.0,0.0
1.7764678599975578e+18,0.0,0.0,0.0
1.7764678600051914e+18,0.0,0.0,0.0
1.776467860012448e+18,0.0,0.0,0.0
1.7764678600193697e+18,0.0,0.0,0.0
1.776467860026328e+18,0.0,0.0,0.0
1.7764678600334218e+18,0.0,0.0,0.0
1.7764678600403748e+18,0.0,0.0,0.0
1.7764678600473682e+18,0.0,0.0,0.0
1.7764678600544284e+18,0.0,0.0,0.0
1.776467860061487e+18,0.0,0.0,0.0
1.7764678600684974e+18,0.0,0.0,0.0
1.776467860075475e+18,0.0,0.0,0.0
1.7764678600827405e+18,0.0,0.0,0.0
1.7764678600898478e+18,0.0,0.0,0.0
1.7764678601018941e+18,0.0,0.0,0.0
1.7764678601088722e+18,0.0,0.0,0.0
