time_chanNI9213_1,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
1.7758738895149276e+18,2295.42919921875,21.788171768188477,2295.42919921875,2295.42919921875,2295.42919921875,2295.42919921875,2295.42919921875,23.836742401123047,2295.42919921875,2295.42919921875,2295.42919921875,2295.42919921875,2295.42919921875,2295.42919921875
1.7758738895274266e+18,2295.527587890625,21.854124069213867,2295.527587890625,2295.527587890625,2295.527587890625,2295.527587890625,2295.527587890625,23.875558853149414,2295.527587890625,2295.527587890625,2295.527587890625,2295.527587890625,2295.527587890625,2295.527587890625
1.7758738895399258e+18,2295.427490234375,21.82309913635254,2295.427490234375,2295.427490234375,2295.427490234375,2295.427490234375,2295.427490234375,23.907855987548828,2295.427490234375,2295.427490234375,2295.427490234375,2295.427490234375,2295.427490234375,2295.427490234375
1.7758738895524247e+18,2295.27734375,21.731531143188477,2295.27734375,2295.27734375,2295.27734375,2295.27734375,2295.27734375,23.81437873840332,2295.27734375,2295.27734375,2295.27734375,2295.27734375,2295.27734375,2295.27734375
1.775873889564924e+18,2295.4736328125,21.908489227294922,2295.4736328125,2295.4736328125,2295.4736328125,2295.4736328125,2295.4736328125,23.809301376342773,2295.4736328125,2295.4736328125,2295.4736328125,2295.4736328125,2295.4736328125,2295.4736328125
1.7758738895774228e+18,2295.56787109375,21.90128517150879,2295.56787109375,2295.56787109375,2295.56787109375,2295.56787109375,2295.56787109375,23.84044075012207,2295.56787109375,2295.56787109375,2295.56787109375,2295.56787109375,2295.56787109375,2295.56787109375
1.7758738895899218e+18,2295.40673828125,21.708776473999023,2295.40673828125,2295.40673828125,2295.40673828125,2295.40673828125,2295.40673828125,23.78681755065918,2295.40673828125,2295.40673828125,2295.40673828125,2295.40673828125,2295.40673828125,2295.40673828125
1.7758738896024205e+18,2295.515380859375,21.793548583984375,2295.515380859375,2295.515380859375,2295.515380859375,2295.515380859375,2295.515380859375,23.87143325805664,2295.515380859375,2295.515380859375,2295.515380859375,2295.515380859375,2295.515380859375,2295.515380859375
1.7758738896149194e+18,2295.372802734375,21.78376007080078,2295.372802734375,2295.372802734375,2295.372802734375,2295.372802734375,2295.372802734375,23.802091598510742,2295.372802734375,2295.372802734375,2295.372802734375,2295.372802734375,2295.372802734375,2295.372802734375
1.7758738896274202e+18,2295.447021484375,21.92900276184082,2295.447021484375,2295.447021484375,2295.447021484375,2295.447021484375,2295.447021484375,23.784523010253906,2295.447021484375,2295.447021484375,2295.447021484375,2295.447021484375,2295.447021484375,2295.447021484375
1.7758738896399212e+18,2295.530517578125,21.831382751464844,2295.530517578125,2295.530517578125,2295.530517578125,2295.530517578125,2295.530517578125,23.983308792114258,2295.530517578125,2295.530517578125,2295.530517578125,2295.530517578125,2295.530517578125,2295.530517578125
1.775873889652422e+18,2295.433349609375,21.810686111450195,2295.433349609375,2295.433349609375,2295.433349609375,2295.433349609375,2295.433349609375,23.848594665527344,2295.433349609375,2295.433349609375,2295.433349609375,2295.433349609375,2295.433349609375,2295.433349609375
1.775873889664923e+18,2295.59375,21.816768646240234,2295.59375,2295.59375,2295.59375,2295.59375,2295.59375,23.95787239074707,2295.59375,2295.59375,2295.59375,2295.59375,2295.59375,2295.59375
1.7758738896774226e+18,2295.53271484375,21.89219093322754,2295.53271484375,2295.53271484375,2295.53271484375,2295.53271484375,2295.53271484375,23.902936935424805,2295.53271484375,2295.53271484375,2295.53271484375,2295.53271484375,2295.53271484375,2295.53271484375
1.7758738896899223e+18,2295.417724609375,21.85792350769043,2295.417724609375,2295.417724609375,2295.417724609375,2295.417724609375,2295.417724609375,23.809391021728516,2295.417724609375,2295.417724609375,2295.417724609375,2295.417724609375,2295.417724609375,2295.417724609375
1.775873889702422e+18,2295.478515625,21.815383911132812,2295.478515625,2295.478515625,2295.478515625,2295.478515625,2295.478515625,23.876142501831055,2295.478515625,2295.478515625,2295.478515625,2295.478515625,2295.478515625,2295.478515625
1.7758738897149217e+18,2295.348876953125,21.75897979736328,2295.348876953125,2295.348876953125,2295.348876953125,2295.348876953125,2295.348876953125,23.68914222717285,2295.348876953125,2295.348876953125,2295.348876953125,2295.348876953125,2295.348876953125,2295.348876953125
1.775873889727425e+18,2295.450439453125,21.816286087036133,2295.450439453125,2295.450439453125,2295.450439453125,2295.450439453125,2295.450439453125,23.79322624206543,2295.450439453125,2295.450439453125,2295.450439453125,2295.450439453125,2295.450439453125,2295.450439453125
1.7758738897399286e+18,2295.4296875,21.757431030273438,2295.4296875,2295.4296875,2295.4296875,2295.4296875,2295.4296875,23.84554100036621,2295.4296875,2295.4296875,2295.4296875,2295.4296875,2295.4296875,2295.4296875
1.7758738897524319e+18,2295.48974609375,22.016435623168945,2295.48974609375,2295.48974609375,2295.48974609375,2295.48974609375,2295.48974609375,23.791458129882812,2295.48974609375,2295.48974609375,2295.48974609375,2295.48974609375,2295.48974609375,2295.48974609375
1.7758738897649352e+18,2295.499755859375,21.889802932739258,2295.499755859375,2295.499755859375,2295.499755859375,2295.499755859375,2295.499755859375,23.832441329956055,2295.499755859375,2295.499755859375,2295.499755859375,2295.499755859375,2295.499755859375,2295.499755859375
1.7758738897774344e+18,2295.423095703125,21.813413619995117,2295.423095703125,2295.423095703125,2295.423095703125,2295.423095703125,2295.423095703125,23.84623908996582,2295.423095703125,2295.423095703125,2295.423095703125,2295.423095703125,2295.423095703125,2295.423095703125
1.7758738897899338e+18,2295.50341796875,21.791976928710938,2295.50341796875,2295.50341796875,2295.50341796875,2295.50341796875,2295.50341796875,23.820220947265625,2295.50341796875,2295.50341796875,2295.50341796875,2295.50341796875,2295.50341796875,2295.50341796875
1.775873889802433e+18,2295.44677734375,21.782703399658203,2295.44677734375,2295.44677734375,2295.44677734375,2295.44677734375,2295.44677734375,23.750003814697266,2295.44677734375,2295.44677734375,2295.44677734375,2295.44677734375,2295.44677734375,2295.44677734375
1.7758738898149322e+18,2295.5361328125,21.90849494934082,2295.5361328125,2295.5361328125,2295.5361328125,2295.5361328125,2295.5361328125,23.853641510009766,2295.5361328125,2295.5361328125,2295.5361328125,2295.5361328125,2295.5361328125,2295.5361328125
