time_chanNI9264_1,ER_N2_06_state,ER_GO2_03_state,Accel_state
1.7758738895047826e+18,0.0,0.0,0.0
1.7758738895116677e+18,0.0,0.0,0.0
1.7758738895185393e+18,0.0,0.0,0.0
1.7758738895254564e+18,0.0,0.0,0.0
1.7758738895323727e+18,0.0,0.0,0.0
1.7758738895392937e+18,0.0,0.0,0.0
1.775873889546186e+18,0.0,0.0,0.0
1.7758738895530255e+18,0.0,0.0,0.0
1.7758738895599135e+18,0.0,0.0,0.0
1.7758738895668347e+18,0.0,0.0,0.0
1.7758738895737723e+18,0.0,0.0,0.0
1.77587388958067e+18,0.0,0.0,0.0
1.7758738895876076e+18,0.0,0.0,0.0
1.7758738895946104e+18,0.0,0.0,0.0
1.7758738896016013e+18,0.0,0.0,0.0
1.7758738896085025e+18,0.0,0.0,0.0
1.775873889615494e+18,0.0,0.0,0.0
1.7758738896224033e+18,0.0,0.0,0.0
1.7758738896296732e+18,0.0,0.0,0.0
1.7758738896368394e+18,0.0,0.0,0.0
1.7758738896437417e+18,0.0,0.0,0.0
1.7758738896510339e+18,0.0,0.0,0.0
1.775873889658098e+18,0.0,0.0,0.0
1.7758738896665032e+18,0.0,0.0,0.0
1.7758738896735227e+18,0.0,0.0,0.0
1.7758738896807283e+18,0.0,0.0,0.0
1.7758738896884984e+18,0.0,0.0,0.0
1.775873889695397e+18,0.0,0.0,0.0
1.7758738897026258e+18,0.0,0.0,0.0
1.7758738897099802e+18,0.0,0.0,0.0
1.7758738897169021e+18,0.0,0.0,0.0
1.7758738897237957e+18,0.0,0.0,0.0
1.7758738897307144e+18,0.0,0.0,0.0
1.7758738897376192e+18,0.0,0.0,0.0
1.7758738897453778e+18,0.0,0.0,0.0
1.7758738897525107e+18,0.0,0.0,0.0
1.7758738897594442e+18,0.0,0.0,0.0
1.775873889766881e+18,0.0,0.0,0.0
1.7758738897737948e+18,0.0,0.0,0.0
1.7758738897814536e+18,0.0,0.0,0.0
1.7758738897890532e+18,0.0,0.0,0.0
1.7758738897966185e+18,0.0,0.0,0.0
1.775873889803978e+18,0.0,0.0,0.0
1.7758738898113462e+18,0.0,0.0,0.0
1.7758738898192896e+18,0.0,0.0,0.0
1.7758738898262354e+18,0.0,0.0,0.0
1.7758738898335186e+18,0.0,0.0,0.0
1.7758738898418778e+18,0.0,0.0,0.0
1.775873889848868e+18,0.0,0.0,0.0
1.7758738898565046e+18,0.0,0.0,0.0
1.7758738898634473e+18,0.0,0.0,0.0
1.775873889870393e+18,0.0,0.0,0.0
1.7758738898773476e+18,0.0,0.0,0.0
1.775873889885275e+18,0.0,0.0,0.0
1.7758738898923387e+18,0.0,0.0,0.0
1.7758738898993052e+18,0.0,0.0,0.0
1.7758738899066314e+18,0.0,0.0,0.0
1.7758738899137782e+18,0.0,0.0,0.0
1.7758738899206707e+18,0.0,0.0,0.0
1.775873889927724e+18,0.0,0.0,0.0
1.7758738899348966e+18,0.0,0.0,0.0
1.7758738899434437e+18,0.0,0.0,0.0
1.7758738899503718e+18,0.0,0.0,0.0
1.7758738899572498e+18,0.0,0.0,0.0
1.7758738899641613e+18,0.0,0.0,0.0
1.7758738899710502e+18,0.0,0.0,0.0
