time_chanNI9205_2,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
1.7758738895037023e+18,-278.3236999511719,-262.4548034667969,-284.7632751464844,-265.444580078125,-275.79388427734375,-266.8244934082031,-255.78524780273438,-272.3441162109375,108.25556945800781,43.30222702026367,43.30222702026367,-299.22552490234375
1.7758738895047022e+18,-273.0340576171875,-305.23187255859375,-267.74444580078125,-310.7514953613281,-267.74444580078125,-293.962646484375,-267.0544738769531,-289.3629455566406,108.25556945800781,43.30222702026367,43.30222702026367,-298.4400939941406
1.7758738895057021e+18,-272.1141357421875,-291.43280029296875,-294.882568359375,-267.74444580078125,-283.15338134765625,-287.2930908203125,-248.65574645996094,-287.5230712890625,108.25556945800781,43.30222702026367,43.30222702026367,-299.1639099121094
1.7758738895067023e+18,-296.4924621582031,-267.2844543457031,-291.20281982421875,-291.43280029296875,-259.0050354003906,-295.5725402832031,-258.5450744628906,-290.97283935546875,108.25556945800781,43.30222702026367,43.30222702026367,-299.3025207519531
1.7758738895077023e+18,-283.84332275390625,-293.0426940917969,-304.3119201660156,-281.3135070800781,-285.2232360839844,-299.4822692871094,-261.07489013671875,-296.4924621582031,108.25556945800781,43.30222702026367,43.30222702026367,-299.7337341308594
1.7758738895087022e+18,-296.9524230957031,-279.4736328125,-305.69183349609375,-279.4736328125,-299.4822692871094,-272.8040771484375,-294.882568359375,-283.61334228515625,108.25556945800781,43.30222702026367,43.30222702026367,-301.13519287109375
1.7758738895097021e+18,-302.2420654296875,-272.3441162109375,-303.8519592285156,-295.8025207519531,-272.1141357421875,-311.9013977050781,-274.8739318847656,-303.8519592285156,108.25556945800781,43.30222702026367,43.30222702026367,-299.8723449707031
1.775873889510702e+18,-324.550537109375,-296.2624816894531,-315.8111267089844,-302.4720458984375,-299.7122497558594,-296.9524230957031,-276.48382568359375,-305.46185302734375,108.25556945800781,43.30222702026367,43.30222702026367,-300.45758056640625
1.775873889511702e+18,-298.79229736328125,-284.07330322265625,-302.9320373535156,-279.013671875,-296.9524230957031,-284.07330322265625,-286.6031494140625,-302.0120849609375,108.25556945800781,43.30222702026367,43.30222702026367,-300.6269836425781
1.775873889512702e+18,-290.05291748046875,-319.95086669921875,-284.07330322265625,-321.5607604980469,-285.4532165527344,-284.7632751464844,-295.8025207519531,-269.12432861328125,108.25556945800781,43.30222702026367,43.30222702026367,-300.45758056640625
1.775873889513702e+18,-297.41241455078125,-282.46343994140625,-280.8535461425781,-290.97283935546875,-265.214599609375,-291.8927917480469,-262.4548034667969,-307.7616882324219,108.25556945800781,43.30222702026367,43.30222702026367,-299.7645568847656
1.7758738895147018e+18,-256.4751892089844,-298.79229736328125,-297.87237548828125,-279.013671875,-293.2726745605469,-282.69342041015625,-255.32528686523438,-294.652587890625,108.25556945800781,43.30222702026367,43.30222702026367,-301.21221923828125
1.775873889515702e+18,-293.5026550292969,-259.6949768066406,-287.2930908203125,-266.8244934082031,-271.1941833496094,-270.2742614746094,-271.1941833496094,-293.5026550292969,108.25556945800781,43.30222702026367,43.30222702026367,-300.981201171875
