time_chanNI9205_2,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
1.7758752980636613e+18,-288.2130432128906,-312.59136962890625,-304.0819396972656,-283.61334228515625,-315.1211853027344,-311.4414367675781,-291.43280029296875,-337.8896179199219,108.25556945800781,43.30222702026367,43.30222702026367,-299.31793212890625
1.7758752980646612e+18,-319.2608947753906,-305.46185302734375,-290.05291748046875,-316.7310791015625,-285.2232360839844,-311.2114562988281,-301.7821044921875,-306.61175537109375,108.25556945800781,43.30222702026367,43.30222702026367,-300.3035583496094
1.7758752980656612e+18,-289.1329650878906,-317.4210205078125,-282.69342041015625,-316.5010986328125,-277.8637390136719,-308.681640625,-272.5740966796875,-309.83154296875,108.25556945800781,43.30222702026367,43.30222702026367,-299.0099182128906
1.7758752980666614e+18,-302.4720458984375,-298.10235595703125,-322.0207214355469,-293.5026550292969,-318.1109924316406,-293.0426940917969,-301.7821044921875,-296.7224426269531,108.25556945800781,43.30222702026367,43.30222702026367,-300.3805847167969
1.7758752980676613e+18,-322.4806823730469,-292.5827331542969,-295.342529296875,-302.2420654296875,-270.0442810058594,-300.4021911621094,-263.8346862792969,-295.8025207519531,108.25556945800781,43.30222702026367,43.30222702026367,-298.65570068359375
1.7758752980686612e+18,-300.8621520996094,-296.0325012207031,-274.4139709472656,-303.1620178222656,-266.1345520019531,-295.342529296875,-266.5945129394531,-287.9830322265625,108.25556945800781,43.30222702026367,43.30222702026367,-297.8702392578125
1.7758752980696612e+18,-269.5843200683594,-302.2420654296875,-294.652587890625,-284.07330322265625,-302.9320373535156,-290.05291748046875,-251.64553833007812,-290.28289794921875,108.25556945800781,43.30222702026367,43.30222702026367,-300.54998779296875
1.775875298070661e+18,-303.3919982910156,-277.4037780761719,-307.9916687011719,-283.38336181640625,-301.7821044921875,-280.3935546875,-293.5026550292969,-278.3236999511719,108.25556945800781,43.30222702026367,43.30222702026367,-299.2563171386719
1.775875298071661e+18,-275.56390380859375,-284.30328369140625,-264.754638671875,-299.2522888183594,-267.5144348144531,-291.20281982421875,-298.10235595703125,-280.8535461425781,108.25556945800781,43.30222702026367,43.30222702026367,-299.5797424316406
1.775875298072661e+18,-270.0442810058594,-285.9131774902344,-258.7750549316406,-295.112548828125,-257.3951416015625,-283.84332275390625,-270.2742614746094,-278.0937194824219,108.25556945800781,43.30222702026367,43.30222702026367,-298.2244567871094
1.775875298073661e+18,-283.38336181640625,-295.5725402832031,-297.41241455078125,-296.2624816894531,-299.4822692871094,-286.1431579589844,-302.7020263671875,-286.6031494140625,108.25556945800781,43.30222702026367,43.30222702026367,-299.70294189453125
1.775875298074661e+18,-290.74285888671875,-281.3135070800781,-283.61334228515625,-294.882568359375,-272.5740966796875,-294.652587890625,-261.76483154296875,-301.0921630859375,108.25556945800781,43.30222702026367,43.30222702026367,-300.041748046875
1.775875298075661e+18,-299.4822692871094,-301.3221435546875,-298.33233642578125,-322.0207214355469,-291.8927917480469,-311.9013977050781,-287.0631103515625,-292.8127136230469,108.25556945800781,43.30222702026367,43.30222702026367,-298.8251037597656
1.775875298076661e+18,-286.8331298828125,-311.6714172363281,-278.78369140625,-313.97125244140625,-317.1910400390625,-291.43280029296875,-302.7020263671875,-305.69183349609375,108.25556945800781,43.30222702026367,43.30222702026367,-298.67108154296875
1.775875298077661e+18,-281.5434875488281,-316.2711181640625,-289.3629455566406,-321.5607604980469,-287.7530517578125,-315.8111267089844,-275.79388427734375,-316.2711181640625,108.25556945800781,43.30222702026367,43.30222702026367,-301.13519287109375
1.7758752980786609e+18,-304.3119201660156,-307.0717468261719,-325.010498046875,-310.29150390625,-329.8401794433594,-304.77191162109375,-307.7616882324219,-308.2216491699219,108.25556945800781,43.30222702026367,43.30222702026367,-301.0119934082031
1.7758752980796608e+18,-304.3119201660156,-287.2930908203125,-311.6714172363281,-298.10235595703125,-297.64239501953125,-313.28131103515625,-285.2232360839844,-314.2012634277344,108.25556945800781,43.30222702026367,43.30222702026367,-301.6280212402344
1.7758752980806607e+18,-291.66278076171875,-315.8111267089844,-288.2130432128906,-319.2608947753906,-307.3017272949219,-305.92181396484375,-322.0207214355469,-301.0921630859375,108.25556945800781,43.30222702026367,43.30222702026367,-301.181396484375
1.7758752980816607e+18,-292.3527526855469,-312.59136962890625,-282.69342041015625,-317.6510009765625,-275.56390380859375,-310.9814758300781,-273.4940490722656,-311.9013977050781,108.25556945800781,43.30222702026367,43.30222702026367,-301.350830078125
1.7758752980826609e+18,-301.7821044921875,-328.23028564453125,-293.732666015625,-319.0309143066406,-299.4822692871094,-285.6831970214844,-301.3221435546875,-275.79388427734375,108.25556945800781,43.30222702026367,43.30222702026367,-299.79534912109375
1.7758752980836608e+18,-306.15179443359375,-275.33392333984375,-286.1431579589844,-312.36138916015625,-279.70361328125,-285.9131774902344,-307.7616882324219,-293.732666015625,108.25556945800781,43.30222702026367,43.30222702026367,-298.9790954589844
1.7758752980846607e+18,-295.342529296875,-273.0340576171875,-301.3221435546875,-291.20281982421875,-285.2232360839844,-310.5215148925781,-273.2640686035156,-281.3135070800781,108.25556945800781,43.30222702026367,43.30222702026367,-300.84259033203125
1.7758752980856607e+18,-308.4516296386719,-284.30328369140625,-309.83154296875,-289.8229064941406,-273.2640686035156,-291.8927917480469,-254.1753692626953,-280.3935546875,108.25556945800781,43.30222702026367,43.30222702026367,-301.11981201171875
1.7758752980866606e+18,-273.9540100097656,-288.2130432128906,-281.3135070800781,-280.6235656738281,-286.1431579589844,-260.84490966796875,-281.7734680175781,-266.1345520019531,108.25556945800781,43.30222702026367,43.30222702026367,-301.1044006347656
1.7758752980876608e+18,-267.5144348144531,-297.1824035644531,-264.754638671875,-302.2420654296875,-269.12432861328125,-285.2232360839844,-282.69342041015625,-279.24365234375,108.25556945800781,43.30222702026367,43.30222702026367,-299.24090576171875
1.7758752980886607e+18,-273.9540100097656,-296.0325012207031,-267.5144348144531,-301.7821044921875,-271.4241943359375,-284.9932556152344,-284.7632751464844,-280.6235656738281,108.25556945800781,43.30222702026367,43.30222702026367,-299.51812744140625
1.7758752980896607e+18,-267.97442626953125,-294.652587890625,-274.6439514160156,-299.4822692871094,-284.30328369140625,-283.15338134765625,-290.51287841796875,-278.3236999511719,108.25556945800781,43.30222702026367,43.30222702026367,-299.5489196777344
1.7758752980906606e+18,-291.20281982421875,-266.1345520019531,-299.2522888183594,-281.5434875488281,-282.69342041015625,-310.7514953613281,-266.8244934082031,-287.2930908203125,108.25556945800781,43.30222702026367,43.30222702026367,-299.9339599609375
1.7758752980916605e+18,-284.07330322265625,-315.1211853027344,-291.20281982421875,-296.4924621582031,-296.4924621582031,-268.89434814453125,-289.3629455566406,-268.89434814453125,108.25556945800781,43.30222702026367,43.30222702026367,-299.8723449707031
1.7758752980926607e+18,-306.61175537109375,-276.48382568359375,-301.3221435546875,-294.882568359375,-284.9932556152344,-299.02227783203125,-265.9045715332031,-303.3919982910156,108.25556945800781,43.30222702026367,43.30222702026367,-300.411376953125
1.7758752980936607e+18,-295.342529296875,-313.05133056640625,-286.3731689453125,-317.4210205078125,-278.5536804199219,-306.38177490234375,-266.8244934082031,-306.8417663574219,108.25556945800781,43.30222702026367,43.30222702026367,-301.0119934082031
1.7758752980946606e+18,-320.64080810546875,-306.61175537109375,-307.9916687011719,-315.1211853027344,-296.2624816894531,-307.7616882324219,-281.5434875488281,-311.6714172363281,108.25556945800781,43.30222702026367,43.30222702026367,-301.3816223144531
1.7758752980956605e+18,-294.192626953125,-316.5010986328125,-290.05291748046875,-322.2507019042969,-288.6730041503906,-307.0717468261719,-291.43280029296875,-301.0921630859375,108.25556945800781,43.30222702026367,43.30222702026367,-299.61053466796875
1.7758752980966607e+18,-308.2216491699219,-308.4516296386719,-294.882568359375,-321.5607604980469,-286.6031494140625,-310.9814758300781,-292.5827331542969,-314.2012634277344,108.25556945800781,43.30222702026367,43.30222702026367,-300.611572265625
1.7758752980976607e+18,-309.37158203125,-308.4516296386719,-296.4924621582031,-312.36138916015625,-289.3629455566406,-301.7821044921875,-281.3135070800781,-309.6015625,108.25556945800781,43.30222702026367,43.30222702026367,-300.3497619628906
1.7758752980986606e+18,-330.0701599121094,-301.0921630859375,-330.3001403808594,-305.92181396484375,-292.5827331542969,-310.5215148925781,-273.4940490722656,-308.2216491699219,108.25556945800781,43.30222702026367,43.30222702026367,-298.9790954589844
1.7758752980996605e+18,-311.4414367675781,-286.8331298828125,-307.0717468261719,-287.2930908203125,-293.2726745605469,-290.97283935546875,-274.8739318847656,-305.92181396484375,108.25556945800781,43.30222702026367,43.30222702026367,-300.3959655761719
1.7758752981006607e+18,-297.1824035644531,-320.18084716796875,-296.2624816894531,-308.4516296386719,-290.05291748046875,-284.9932556152344,-291.20281982421875,-284.7632751464844,108.25556945800781,43.30222702026367,43.30222702026367,-298.4400939941406
1.7758752981016607e+18,-297.1824035644531,-303.6219787597656,-307.0717468261719,-296.2624816894531,-305.46185302734375,-283.38336181640625,-294.192626953125,-291.20281982421875,108.25556945800781,43.30222702026367,43.30222702026367,-299.88775634765625
1.7758752981026606e+18,-285.4532165527344,-308.91162109375,-286.6031494140625,-319.0309143066406,-274.4139709472656,-304.5419006347656,-276.48382568359375,-288.9029846191406,108.25556945800781,43.30222702026367,43.30222702026367,-297.7778625488281
1.7758752981036605e+18,-295.5725402832031,-266.3645324707031,-293.5026550292969,-268.43438720703125,-285.4532165527344,-262.4548034667969,-283.61334228515625,-267.97442626953125,108.25556945800781,43.30222702026367,43.30222702026367,-297.962646484375
