time_chanNI9213_1,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
1.7758752980648484e+18,2297.579833984375,21.98140525817871,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,24.678373336791992,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375,2297.579833984375
1.7758752980773484e+18,2297.55859375,22.034109115600586,2297.55859375,2297.55859375,2297.55859375,2297.55859375,2297.55859375,24.71849250793457,2297.55859375,2297.55859375,2297.55859375,2297.55859375,2297.55859375,2297.55859375
1.775875298089848e+18,2297.51220703125,22.050100326538086,2297.51220703125,2297.51220703125,2297.51220703125,2297.51220703125,2297.51220703125,24.554475784301758,2297.51220703125,2297.51220703125,2297.51220703125,2297.51220703125,2297.51220703125,2297.51220703125
1.775875298102348e+18,2297.521484375,22.070680618286133,2297.521484375,2297.521484375,2297.521484375,2297.521484375,2297.521484375,24.665918350219727,2297.521484375,2297.521484375,2297.521484375,2297.521484375,2297.521484375,2297.521484375
1.775875298114848e+18,2297.373291015625,21.98944664001465,2297.373291015625,2297.373291015625,2297.373291015625,2297.373291015625,2297.373291015625,24.567567825317383,2297.373291015625,2297.373291015625,2297.373291015625,2297.373291015625,2297.373291015625,2297.373291015625
1.775875298127348e+18,2297.5947265625,22.032045364379883,2297.5947265625,2297.5947265625,2297.5947265625,2297.5947265625,2297.5947265625,24.69220733642578,2297.5947265625,2297.5947265625,2297.5947265625,2297.5947265625,2297.5947265625,2297.5947265625
1.7758752981398482e+18,2297.53857421875,22.058712005615234,2297.53857421875,2297.53857421875,2297.53857421875,2297.53857421875,2297.53857421875,24.67635726928711,2297.53857421875,2297.53857421875,2297.53857421875,2297.53857421875,2297.53857421875,2297.53857421875
1.7758752981523482e+18,2297.530029296875,22.065387725830078,2297.530029296875,2297.530029296875,2297.530029296875,2297.530029296875,2297.530029296875,24.626028060913086,2297.530029296875,2297.530029296875,2297.530029296875,2297.530029296875,2297.530029296875,2297.530029296875
1.7758752981648484e+18,2297.8095703125,22.248023986816406,2297.8095703125,2297.8095703125,2297.8095703125,2297.8095703125,2297.8095703125,24.852075576782227,2297.8095703125,2297.8095703125,2297.8095703125,2297.8095703125,2297.8095703125,2297.8095703125
1.775875298177349e+18,2297.623046875,21.872310638427734,2297.623046875,2297.623046875,2297.623046875,2297.623046875,2297.623046875,24.712825775146484,2297.623046875,2297.623046875,2297.623046875,2297.623046875,2297.623046875,2297.623046875
1.77587529818985e+18,2297.55908203125,22.00684356689453,2297.55908203125,2297.55908203125,2297.55908203125,2297.55908203125,2297.55908203125,24.730514526367188,2297.55908203125,2297.55908203125,2297.55908203125,2297.55908203125,2297.55908203125,2297.55908203125
1.775875298202351e+18,2297.48681640625,22.02475357055664,2297.48681640625,2297.48681640625,2297.48681640625,2297.48681640625,2297.48681640625,24.725770950317383,2297.48681640625,2297.48681640625,2297.48681640625,2297.48681640625,2297.48681640625,2297.48681640625
1.7758752982148518e+18,2297.504638671875,22.02519989013672,2297.504638671875,2297.504638671875,2297.504638671875,2297.504638671875,2297.504638671875,24.624465942382812,2297.504638671875,2297.504638671875,2297.504638671875,2297.504638671875,2297.504638671875,2297.504638671875
