time_chanNI9264_1,ER_N2_06_state,ER_GO2_03_state,Accel_state
1.776468260221102e+18,0.0,0.0,0.0
1.7764682602283167e+18,0.0,0.0,0.0
1.7764682602352317e+18,0.0,0.0,0.0
1.7764682602421816e+18,0.0,0.0,0.0
1.7764682602502415e+18,0.0,0.0,0.0
1.776468260257322e+18,0.0,0.0,0.0
1.7764682602643182e+18,0.0,0.0,0.0
1.7764682602713037e+18,0.0,0.0,0.0
1.7764682602782758e+18,0.0,0.0,0.0
1.7764682602852352e+18,0.0,0.0,0.0
1.7764682602921948e+18,0.0,0.0,0.0
1.7764682602991532e+18,0.0,0.0,0.0
1.776468260306176e+18,0.0,0.0,0.0
1.7764682603131292e+18,0.0,0.0,0.0
1.7764682603200906e+18,0.0,0.0,0.0
1.7764682603271795e+18,0.0,0.0,0.0
1.7764682603341476e+18,0.0,0.0,0.0
1.7764682603413038e+18,0.0,0.0,0.0
1.7764682603497329e+18,0.0,0.0,0.0
1.776468260356649e+18,0.0,0.0,0.0
1.7764682603638428e+18,0.0,0.0,0.0
1.776468260370767e+18,0.0,0.0,0.0
1.776468260378166e+18,0.0,0.0,0.0
1.7764682603853243e+18,0.0,0.0,0.0
1.776468260392632e+18,0.0,0.0,0.0
1.776468260399553e+18,0.0,0.0,0.0
1.7764682604065027e+18,0.0,0.0,0.0
1.7764682604134113e+18,0.0,0.0,0.0
1.7764682604203707e+18,0.0,0.0,0.0
1.7764682604273057e+18,0.0,0.0,0.0
1.77646826043429e+18,0.0,0.0,0.0
1.7764682604412e+18,0.0,0.0,0.0
1.7764682604503e+18,0.0,0.0,0.0
1.7764682604579694e+18,0.0,0.0,0.0
1.7764682604648847e+18,0.0,0.0,0.0
1.776468260471842e+18,0.0,0.0,0.0
1.776468260478863e+18,0.0,0.0,0.0
1.7764682604857825e+18,0.0,0.0,0.0
1.776468260492719e+18,0.0,0.0,0.0
1.7764682604996877e+18,0.0,0.0,0.0
1.776468260506615e+18,0.0,0.0,0.0
1.776468260513514e+18,0.0,0.0,0.0
1.7764682605204265e+18,0.0,0.0,0.0
1.7764682605279716e+18,0.0,0.0,0.0
1.7764682605349317e+18,0.0,0.0,0.0
1.7764682605418e+18,0.0,0.0,0.0
1.7764682605500754e+18,0.0,0.0,0.0
1.7764682605570452e+18,0.0,0.0,0.0
1.776468260564175e+18,0.0,0.0,0.0
1.7764682605713116e+18,0.0,0.0,0.0
1.7764682605790505e+18,0.0,0.0,0.0
1.7764682605862454e+18,0.0,0.0,0.0
1.7764682605932303e+18,0.0,0.0,0.0
1.7764682606001853e+18,0.0,0.0,0.0
1.7764682606071337e+18,0.0,0.0,0.0
1.7764682606141535e+18,0.0,0.0,0.0
1.776468260621088e+18,0.0,0.0,0.0
1.776468260628255e+18,0.0,0.0,0.0
1.7764682606352788e+18,0.0,0.0,0.0
1.7764682606436902e+18,0.0,0.0,0.0
1.776468260650608e+18,0.0,0.0,0.0
1.776468260657509e+18,0.0,0.0,0.0
1.7764682606644367e+18,0.0,0.0,0.0
1.7764682606724073e+18,0.0,0.0,0.0
1.7764682606797368e+18,0.0,0.0,0.0
1.7764682606866657e+18,0.0,0.0,0.0
1.7764682606935803e+18,0.0,0.0,0.0
1.7764682607004823e+18,0.0,0.0,0.0
1.7764682607073907e+18,0.0,0.0,0.0
1.7764682607143258e+18,0.0,0.0,0.0
1.7764682607212672e+18,0.0,0.0,0.0
1.7764682607285225e+18,0.0,0.0,0.0
1.776468260735467e+18,0.0,0.0,0.0
1.776468260746298e+18,0.0,0.0,0.0
1.776468260753264e+18,0.0,0.0,0.0
1.7764682607601723e+18,0.0,0.0,0.0
1.7764682607671178e+18,0.0,0.0,0.0
1.7764682607741322e+18,0.0,0.0,0.0
1.776468260781107e+18,0.0,0.0,0.0
1.776468260788318e+18,0.0,0.0,0.0
1.7764682607952364e+18,0.0,0.0,0.0
1.776468260802263e+18,0.0,0.0,0.0
1.77646826080918e+18,0.0,0.0,0.0
1.77646826081614e+18,0.0,0.0,0.0
1.7764682608231608e+18,0.0,0.0,0.0
