time_chanNI9205_3,PT_H2_03,PT_LO2_03,PT_LO2_04,PT_TI_01,PT_GG_01,PT_FU_04,Accel_AI
1.7758756917396677e+18,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797
1.7758756917406676e+18,-215.708740234375,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.49278259277344
1.7758756917416678e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.570873260498047,-21.572189331054688,-180.54205322265625
1.7758756917426678e+18,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.572189331054688,-21.570873260498047,-180.5584716796875
1.7758756917436677e+18,-215.71531677246094,-21.571531295776367,-21.572189331054688,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.57489013671875
1.775875691744668e+18,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.5092010498047
1.7758756917456678e+18,-215.71531677246094,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4763641357422
1.7758756917466678e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.572189331054688,-180.42710876464844
1.7758756917476677e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.570873260498047,-21.571531295776367,-180.39425659179688
1.775875691748668e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812
1.7758756917496678e+18,-215.71531677246094,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.37783813476562
1.7758756917506678e+18,-215.708740234375,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.571531295776367,-180.36141967773438
1.775875691751668e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-180.34500122070312
1.775875691752668e+18,-215.71531677246094,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.571531295776367,-180.32858276367188
1.7758756917536678e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.572189331054688,-180.32858276367188
1.775875691754668e+18,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.42710876464844
1.775875691755668e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.570873260498047,-21.572189331054688,-180.42710876464844
1.775875691756668e+18,-215.71531677246094,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.41067504882812
