time_chanNI9203_1,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
1.7758756917519173e+18,-375.1576232910156,-1249.1893310546875,-374.6015930175781,-75.05684661865234,-500.0909729003906,-374.8500671386719,-374.0464172363281,-375.3472900390625
1.7758756917529175e+18,-375.1883850097656,-1250.5228271484375,-375.4325866699219,-75.07530212402344,-500.2550354003906,-375.65008544921875,-383.52716064453125,-375.2242736816406
1.7758756917539174e+18,-375.1576232910156,-1249.599609375,-375.2171325683594,-75.06299591064453,-499.8448791503906,-375.0039367675781,-378.5713195800781,-374.6400146484375
1.7758756917549174e+18,-375.0345458984375,-1249.3944091796875,-375.2171325683594,-74.9707260131836,-499.68084716796875,-375.4346923828125,-376.90911865234375,-374.9167785644531
1.7758756917559173e+18,-375.3422546386719,-1249.8046875,-375.032470703125,-75.08760070800781,-499.9269104003906,-374.7577819824219,-376.4781799316406,-374.8552551269531
1.7758756917569175e+18,-375.1576232910156,-1249.9073486328125,-375.001708984375,-75.08145141601562,-499.8858947753906,-374.97314453125,-383.52716064453125,-374.79376220703125
1.7758756917579174e+18,-374.81915283203125,-1250.1124267578125,-374.9401550292969,-74.9338150024414,-499.9679260253906,-375.2808532714844,-371.1221618652344,-375.0397644042969
1.7758756917589174e+18,-374.9422302246094,-1251.3433837890625,-374.90936279296875,-74.98302459716797,-500.5010986328125,-375.2808532714844,-368.22869873046875,-375.0705261230469
1.7758756917599173e+18,-375.31146240234375,-1251.3433837890625,-375.1863708496094,-75.08760070800781,-500.5831298828125,-375.2500915527344,-383.52716064453125,-375.3472900390625
1.7758756917609175e+18,-375.1576232910156,-1249.4969482421875,-374.90936279296875,-75.07530212402344,-500.0089416503906,-374.880859375,-383.52716064453125,-374.8860168457031
1.7758756917619174e+18,-374.9729919433594,-1250.83056640625,-374.57080078125,-75.03224182128906,-500.0499572753906,-374.8193054199219,-381.7110595703125,-374.978271484375
1.7758756917629174e+18,-375.1883850097656,-1249.599609375,-375.0940246582031,-75.06914520263672,-499.76287841796875,-375.0039367675781,-383.52716064453125,-374.7015075683594
1.7758756917639176e+18,-374.7575988769531,-1251.2408447265625,-374.90936279296875,-75.01378631591797,-500.5831298828125,-374.72698974609375,-368.2594909667969,-375.2550354003906
1.7758756917649175e+18,-375.3422546386719,-1250.420166015625,-374.7862548828125,-74.98302459716797,-500.2140197753906,-375.58856201171875,-378.509765625,-374.7322692871094
1.7758756917659174e+18,-375.0960998535156,-1251.03564453125,-375.4325866699219,-75.03839111328125,-500.0089416503906,-374.880859375,-370.96826171875,-374.82452392578125
1.7758756917669174e+18,-375.21917724609375,-1250.6253662109375,-375.4325866699219,-75.06914520263672,-500.0909729003906,-374.72698974609375,-373.15374755859375,-374.79376220703125
1.7758756917679176e+18,-374.81915283203125,-1250.6253662109375,-375.2171325683594,-74.98918151855469,-499.47576904296875,-374.8193054199219,-376.23193359375,-375.53179931640625
1.7758756917689175e+18,-375.31146240234375,-1250.0098876953125,-374.8478088378906,-75.06914520263672,-499.8858947753906,-374.7885437011719,-377.5247497558594,-374.79376220703125
1.7758756917699174e+18,-375.0960998535156,-1250.420166015625,-374.6323547363281,-75.03839111328125,-500.1730041503906,-374.8193054199219,-383.3116760253906,-374.978271484375
1.7758756917709174e+18,-375.0037841796875,-1249.4969482421875,-375.3094787597656,-75.05068969726562,-499.68084716796875,-375.0346984863281,-383.52716064453125,-374.6707458496094
1.7758756917719176e+18,-374.9114685058594,-1249.1893310546875,-375.4325866699219,-74.98918151855469,-499.8858947753906,-375.55780029296875,-379.6178894042969,-374.79376220703125
1.7758756917729175e+18,-375.24993896484375,-1249.1893310546875,-375.0632629394531,-75.08760070800781,-499.59881591796875,-375.0346984863281,-381.0338439941406,-374.947509765625
1.7758756917739174e+18,-374.84991455078125,-1248.5738525390625,-375.12481689453125,-75.04454040527344,-499.68084716796875,-374.3885192871094,-372.4150085449219,-375.19354248046875
1.7758756917749176e+18,-374.9422302246094,-1250.215087890625,-375.37103271484375,-74.97687530517578,-499.68084716796875,-375.0346984863281,-383.52716064453125,-375.16278076171875
1.7758756917759176e+18,-375.1268615722656,-1249.1893310546875,-375.032470703125,-75.00148010253906,-499.47576904296875,-375.12701416015625,-379.8949279785156,-374.9167785644531
1.7758756917769175e+18,-374.8807067871094,-1249.1893310546875,-375.37103271484375,-74.99533081054688,-499.8448791503906,-375.5270080566406,-383.52716064453125,-374.76300048828125
1.7758756917779174e+18,-375.1883850097656,-1249.7021484375,-374.9401550292969,-75.06299591064453,-499.9269104003906,-374.9423828125,-383.52716064453125,-374.947509765625
1.7758756917789176e+18,-375.0037841796875,-1249.8046875,-374.69390869140625,-75.03224182128906,-500.1319885253906,-374.8193054199219,-380.4797668457031,-375.0705261230469
1.7758756917799176e+18,-375.0653076171875,-1251.2408447265625,-374.6323547363281,-75.00763702392578,-500.2140197753906,-374.8500671386719,-369.1213684082031,-375.4395446777344
1.7758756917809175e+18,-374.9422302246094,-1249.2918701171875,-374.7554626464844,-74.99533081054688,-500.3780517578125,-375.61932373046875,-379.18695068359375,-374.76300048828125
1.7758756917819174e+18,-374.6653137207031,-1249.086669921875,-374.8785705566406,-74.9399642944336,-499.8448791503906,-374.97314453125,-363.9192810058594,-374.947509765625
1.7758756917829176e+18,-375.21917724609375,-1250.6253662109375,-374.8170166015625,-74.9522705078125,-500.4190673828125,-375.2500915527344,-370.1371765136719,-374.82452392578125
1.7758756917839176e+18,-375.1883850097656,-1251.03564453125,-374.7862548828125,-75.01378631591797,-500.6241455078125,-374.880859375,-367.7054138183594,-375.13201904296875
1.7758756917849175e+18,-374.7575988769531,-1249.2918701171875,-374.7862548828125,-74.92766571044922,-499.76287841796875,-374.97314453125,-362.74957275390625,-374.947509765625
1.7758756917859177e+18,-374.9114685058594,-1250.420166015625,-375.40179443359375,-74.97687530517578,-499.9679260253906,-375.55780029296875,-383.52716064453125,-374.7322692871094
1.7758756917869176e+18,-375.0037841796875,-1248.7789306640625,-375.2786865234375,-75.01378631591797,-499.9269104003906,-375.55780029296875,-376.4473876953125,-374.947509765625
1.7758756917879176e+18,-375.0653076171875,-1250.83056640625,-374.6323547363281,-75.02608489990234,-500.1730041503906,-374.8193054199219,-375.7394104003906,-375.19354248046875
1.7758756917889175e+18,-374.6960754394531,-1249.1893310546875,-374.8785705566406,-74.9522705078125,-499.9269104003906,-375.15777587890625,-378.23272705078125,-375.4087829589844
1.7758756917899177e+18,-375.0037841796875,-1250.6253662109375,-374.66314697265625,-75.04454040527344,-500.1730041503906,-374.7885437011719,-380.5721130371094,-375.13201904296875
1.7758756917909176e+18,-374.6960754394531,-1250.0098876953125,-375.15557861328125,-74.97687530517578,-499.8448791503906,-375.55780029296875,-376.2011413574219,-375.009033203125
1.7758756917919176e+18,-374.9114685058594,-1250.215087890625,-375.46337890625,-74.9645767211914,-499.9269104003906,-375.2808532714844,-370.10638427734375,-374.8860168457031
1.7758756917929175e+18,-375.31146240234375,-1250.0098876953125,-374.8170166015625,-75.01378631591797,-500.4190673828125,-374.5423889160156,-374.2926940917969,-375.2242736816406
1.7758756917939177e+18,-374.6960754394531,-1249.8046875,-375.15557861328125,-74.97687530517578,-499.72186279296875,-375.5270080566406,-375.7086486816406,-374.978271484375
1.7758756917949176e+18,-375.1576232910156,-1248.7789306640625,-375.12481689453125,-75.03839111328125,-499.9269104003906,-375.09625244140625,-383.52716064453125,-374.82452392578125
1.7758756917959176e+18,-374.8807067871094,-1249.599609375,-374.90936279296875,-75.02608489990234,-500.2140197753906,-375.61932373046875,-383.52716064453125,-375.19354248046875
1.7758756917969178e+18,-374.7575988769531,-1250.420166015625,-375.12481689453125,-74.98302459716797,-500.4190673828125,-375.2500915527344,-367.4899597167969,-375.2242736816406
1.7758756917979177e+18,-374.84991455078125,-1249.2918701171875,-375.032470703125,-75.06914520263672,-500.3370361328125,-374.8193054199219,-370.0140380859375,-374.7322692871094
1.7758756917989176e+18,-374.8807067871094,-1250.317626953125,-375.2171325683594,-75.03839111328125,-500.2140197753906,-375.65008544921875,-383.52716064453125,-375.0705261230469
1.7758756917999176e+18,-374.9422302246094,-1250.215087890625,-375.15557861328125,-75.07530212402344,-500.5010986328125,-375.2500915527344,-383.52716064453125,-375.4087829589844
1.7758756918009178e+18,-375.1576232910156,-1249.4969482421875,-374.9709167480469,-75.07530212402344,-499.8858947753906,-375.0039367675781,-383.52716064453125,-374.8860168457031
1.7758756918019177e+18,-374.6960754394531,-1249.9073486328125,-375.2786865234375,-74.9645767211914,-499.68084716796875,-375.5270080566406,-377.5555419921875,-374.8552551269531
1.7758756918029176e+18,-375.1576232910156,-1250.420166015625,-375.1863708496094,-75.03839111328125,-500.5421142578125,-375.5270080566406,-381.61871337890625,-375.6240539550781
1.7758756918039176e+18,-375.1576232910156,-1249.599609375,-375.2786865234375,-75.03839111328125,-499.76287841796875,-375.09625244140625,-381.3416748046875,-374.6092529296875
1.7758756918049178e+18,-374.6960754394531,-1249.8046875,-375.15557861328125,-75.03839111328125,-499.72186279296875,-374.72698974609375,-375.40081787109375,-375.53179931640625
1.7758756918059177e+18,-375.0345458984375,-1250.83056640625,-375.2171325683594,-75.01378631591797,-500.2140197753906,-374.7577819824219,-368.78277587890625,-374.9167785644531
1.7758756918069176e+18,-374.8807067871094,-1249.3944091796875,-374.8170166015625,-74.9645767211914,-499.47576904296875,-374.63470458984375,-367.6130676269531,-374.5477600097656
1.7758756918079178e+18,-375.0345458984375,-1249.8046875,-374.6323547363281,-74.98918151855469,-499.9269104003906,-374.6039123535156,-378.2942810058594,-374.947509765625
1.7758756918089178e+18,-374.9729919433594,-1248.7789306640625,-374.6323547363281,-74.9522705078125,-499.80389404296875,-375.0346984863281,-380.9722900390625,-375.2550354003906
1.7758756918099177e+18,-375.3422546386719,-1250.6253662109375,-375.2479248046875,-75.01993560791016,-499.9269104003906,-374.63470458984375,-363.3652038574219,-374.76300048828125
1.7758756918109176e+18,-375.1576232910156,-1249.2918701171875,-374.7247009277344,-75.07530212402344,-500.0089416503906,-374.880859375,-383.52716064453125,-375.0705261230469
1.7758756918119178e+18,-375.24993896484375,-1248.7789306640625,-375.12481689453125,-75.02608489990234,-499.9269104003906,-375.2500915527344,-383.52716064453125,-374.79376220703125
1.7758756918129178e+18,-375.31146240234375,-1250.317626953125,-374.7862548828125,-75.00148010253906,-500.1730041503906,-374.4500732421875,-372.4150085449219,-375.16278076171875
1.7758756918139177e+18,-375.3422546386719,-1249.1893310546875,-374.8170166015625,-75.02608489990234,-499.80389404296875,-374.4808349609375,-377.64788818359375,-375.13201904296875
