time,PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1,PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05,PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2,PT_H2_03,PT_LO2_03,PT_LO2_04,PT_TI_01,PT_GG_01,PT_FU_04,Accel_AI,TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07,ER_N2_06_state,ER_GO2_03_state,Accel_state,PV_N2_17_state,PV_N2_18_state,PV_N2_19_state,PV_LO2_03_state,PV_LO2_05_state,PV_LO2_01_state,PV_GO2_04_state,PV_FU_02_state,PV_FU_04_state,PV_LO2_04_state,SN_N2_08_state,SN_N2_09_state,SN_GO2_05_state,SN_H2_03_state,SN_N2_20_state,SN_N2_13_state,SN_N2_22_state,SN_N2_10_1_state,SN_N2_10_2_state,SN_CO2_01_state,SN_N2_11_state,SN_N2_12_state,Spark_Plug_state
1.7758756917396672e+18,,,,,,,,,,,,,,,,,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917396677e+18,,,,,,,,,,,,,,,,,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917399173e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531,,,,,,,,,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917399232e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531,,,,,,,,,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917399634e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531,-374.84881591796875,-1250.3004150390625,-374.8741149902344,-74.98118591308594,-75.05463409423828,-74.9676742553711,-499.9091491699219,-375.394775390625,-314.6612243652344,-294.422607421875,-307.3017272949219,-319.2608947753906,-288.9029846191406,-317.6510009765625,-288.4430236816406,-299.2522888183594,108.25556945800781,43.30222702026367,43.30222702026367,-299.5335388183594,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917406671e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531,-374.84881591796875,-1250.3004150390625,-374.8741149902344,-74.98118591308594,-75.05463409423828,-74.9676742553711,-499.9091491699219,-375.394775390625,-298.56231689453125,-322.7106628417969,-295.112548828125,-317.8810119628906,-284.7632751464844,-300.8621520996094,-282.2334289550781,-299.02227783203125,108.25556945800781,43.30222702026367,43.30222702026367,-298.7326965332031,-215.71531677246094,-21.571531295776367,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.4435272216797,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917406676e+18,-375.0960998535156,-1248.6763916015625,-375.37103271484375,-75.00148010253906,-499.9269104003906,-375.5270080566406,-376.4166259765625,-374.8552551269531,-374.84881591796875,-1250.3004150390625,-374.8741149902344,-74.98118591308594,-75.05463409423828,-74.9676742553711,-499.9091491699219,-375.394775390625,-298.56231689453125,-322.7106628417969,-295.112548828125,-317.8810119628906,-284.7632751464844,-300.8621520996094,-282.2334289550781,-299.02227783203125,108.25556945800781,43.30222702026367,43.30222702026367,-298.7326965332031,-215.708740234375,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.49278259277344,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917409172e+18,-374.7268371582031,-1249.8046875,-375.1863708496094,-74.9707260131836,-499.72186279296875,-375.55780029296875,-377.46319580078125,-374.79376220703125,-374.84881591796875,-1250.3004150390625,-374.8741149902344,-74.98118591308594,-75.05463409423828,-74.9676742553711,-499.9091491699219,-375.394775390625,-298.56231689453125,-322.7106628417969,-295.112548828125,-317.8810119628906,-284.7632751464844,-300.8621520996094,-282.2334289550781,-299.02227783203125,108.25556945800781,43.30222702026367,43.30222702026367,-298.7326965332031,-215.708740234375,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.49278259277344,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7758756917409633e+18,-374.7268371582031,-1249.8046875,-375.1863708496094,-74.9707260131836,-499.72186279296875,-375.55780029296875,-377.46319580078125,-374.79376220703125,-375.0331726074219,-1250.915283203125,-374.68963623046875,-74.98118591308594,-75.02388763427734,-74.96151733398438,-499.4990234375,-375.17950439453125,-298.56231689453125,-322.7106628417969,-295.112548828125,-317.8810119628906,-284.7632751464844,-300.8621520996094,-282.2334289550781,-299.02227783203125,108.25556945800781,43.30222702026367,43.30222702026367,-298.7326965332031,-215.708740234375,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.49278259277344,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
1.775875691741667e+18,-374.7268371582031,-1249.8046875,-375.1863708496094,-74.9707260131836,-499.72186279296875,-375.55780029296875,-377.46319580078125,-374.79376220703125,-375.0331726074219,-1250.915283203125,-374.68963623046875,-74.98118591308594,-75.02388763427734,-74.96151733398438,-499.4990234375,-375.17950439453125,-299.02227783203125,-293.5026550292969,-281.0835266113281,-305.46185302734375,-267.74444580078125,-293.732666015625,-275.79388427734375,-296.7224426269531,108.25556945800781,43.30222702026367,43.30222702026367,-299.65673828125,-215.708740234375,-21.570873260498047,-21.571531295776367,-21.571531295776367,-21.571531295776367,-21.571531295776367,-180.49278259277344,2297.86865234375,22.039081573486328,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,24.625856399536133,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,2297.86865234375,,,,,,,,,,,,,,,,,,,,,,,,,,
