time_chanNI9264_1,ER_N2_06_state,ER_GO2_03_state,Accel_state
1.7758756917447076e+18,0.0,0.0,0.0
1.7758756917517711e+18,0.0,0.0,0.0
1.775875691758902e+18,0.0,0.0,0.0
1.775875691766048e+18,0.0,0.0,0.0
1.7758756917733414e+18,0.0,0.0,0.0
1.7758756917804483e+18,0.0,0.0,0.0
1.7758756917879073e+18,0.0,0.0,0.0
1.7758756917948106e+18,0.0,0.0,0.0
1.7758756918017288e+18,0.0,0.0,0.0
1.7758756918087201e+18,0.0,0.0,0.0
1.7758756918156826e+18,0.0,0.0,0.0
1.7758756918228042e+18,0.0,0.0,0.0
1.7758756918302223e+18,0.0,0.0,0.0
1.7758756918371548e+18,0.0,0.0,0.0
1.7758756918441413e+18,0.0,0.0,0.0
1.7758756918510454e+18,0.0,0.0,0.0
1.7758756918579707e+18,0.0,0.0,0.0
1.7758756918652754e+18,0.0,0.0,0.0
1.7758756918721664e+18,0.0,0.0,0.0
1.7758756918791373e+18,0.0,0.0,0.0
1.7758756918860242e+18,0.0,0.0,0.0
1.7758756918929106e+18,0.0,0.0,0.0
1.7758756918998344e+18,0.0,0.0,0.0
1.7758756919069545e+18,0.0,0.0,0.0
1.7758756919141696e+18,0.0,0.0,0.0
1.7758756919211105e+18,0.0,0.0,0.0
1.7758756919280092e+18,0.0,0.0,0.0
1.7758756919349563e+18,0.0,0.0,0.0
1.7758756919418952e+18,0.0,0.0,0.0
1.7758756919487977e+18,0.0,0.0,0.0
1.775875691955701e+18,0.0,0.0,0.0
1.7758756919625892e+18,0.0,0.0,0.0
1.7758756919695014e+18,0.0,0.0,0.0
1.775875691976401e+18,0.0,0.0,0.0
1.7758756919837427e+18,0.0,0.0,0.0
1.77587569199066e+18,0.0,0.0,0.0
1.775875691997553e+18,0.0,0.0,0.0
1.775875692004456e+18,0.0,0.0,0.0
1.7758756920114127e+18,0.0,0.0,0.0
1.7758756920183247e+18,0.0,0.0,0.0
1.7758756920253875e+18,0.0,0.0,0.0
1.7758756920323044e+18,0.0,0.0,0.0
1.7758756920392082e+18,0.0,0.0,0.0
1.7758756920461425e+18,0.0,0.0,0.0
1.775875692053023e+18,0.0,0.0,0.0
1.7758756920599048e+18,0.0,0.0,0.0
1.775875692066797e+18,0.0,0.0,0.0
1.7758756920736827e+18,0.0,0.0,0.0
1.77587569208057e+18,0.0,0.0,0.0
1.7758756920874675e+18,0.0,0.0,0.0
1.7758756920943764e+18,0.0,0.0,0.0
1.7758756921013683e+18,0.0,0.0,0.0
1.775875692108499e+18,0.0,0.0,0.0
1.7758756921154017e+18,0.0,0.0,0.0
1.775875692122286e+18,0.0,0.0,0.0
1.7758756921291963e+18,0.0,0.0,0.0
1.7758756921360978e+18,0.0,0.0,0.0
1.775875692143051e+18,0.0,0.0,0.0
1.77587569214995e+18,0.0,0.0,0.0
1.7758756921568335e+18,0.0,0.0,0.0
1.7758756921637916e+18,0.0,0.0,0.0
1.7758756921707226e+18,0.0,0.0,0.0
1.7758756921776192e+18,0.0,0.0,0.0
1.7758756921845594e+18,0.0,0.0,0.0
1.775875692191477e+18,0.0,0.0,0.0
1.7758756921983903e+18,0.0,0.0,0.0
1.7758756922052938e+18,0.0,0.0,0.0
1.775875692212168e+18,0.0,0.0,0.0
1.7758756922190922e+18,0.0,0.0,0.0
1.7758756922260055e+18,0.0,0.0,0.0
1.7758756922329078e+18,0.0,0.0,0.0
1.7758756922398592e+18,0.0,0.0,0.0
1.7758756922467302e+18,0.0,0.0,0.0
1.7758756922537009e+18,0.0,0.0,0.0
1.7758756922606193e+18,0.0,0.0,0.0
1.7758756922675658e+18,0.0,0.0,0.0
1.7758756922744932e+18,0.0,0.0,0.0
1.7758756922813734e+18,0.0,0.0,0.0
1.7758756922888323e+18,0.0,0.0,0.0
1.775875692295736e+18,0.0,0.0,0.0
1.7758756923026153e+18,0.0,0.0,0.0
1.7758756923095772e+18,0.0,0.0,0.0
1.7758756923165947e+18,0.0,0.0,0.0
1.775875692323492e+18,0.0,0.0,0.0
1.7758756923308332e+18,0.0,0.0,0.0
1.7758756923377766e+18,0.0,0.0,0.0
1.7758756923449523e+18,0.0,0.0,0.0
1.77587569235233e+18,0.0,0.0,0.0
1.7758756923592563e+18,0.0,0.0,0.0
1.7758756923662484e+18,0.0,0.0,0.0
1.775875692373285e+18,0.0,0.0,0.0
1.7758756923805386e+18,0.0,0.0,0.0
1.7758756923877281e+18,0.0,0.0,0.0
1.7758756923949896e+18,0.0,0.0,0.0
1.7758756924023288e+18,0.0,0.0,0.0
1.7758756924092252e+18,0.0,0.0,0.0
1.7758756924167227e+18,0.0,0.0,0.0
1.7758756924238518e+18,0.0,0.0,0.0
1.7758756924311073e+18,0.0,0.0,0.0
1.775875692438241e+18,0.0,0.0,0.0
1.7758756924456648e+18,0.0,0.0,0.0
1.7758756924528417e+18,0.0,0.0,0.0
1.775875692460825e+18,0.0,0.0,0.0
