PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
-0.8979343771934509,-1250.0098876953125,-375.032470703125,-75.02608489990234,-500.2140197753906,-375.15777587890625,-375.2469177246094,-375.16278076171875
-16.775432586669922,-1250.215087890625,-375.2786865234375,-75.01993560791016,-500.5421142578125,-375.4346923828125,-375.4316101074219,-375.2242736816406
6.671570301055908,-1249.8046875,-374.7862548828125,-74.98918151855469,-500.4190673828125,-375.4346923828125,-374.7236328125,-374.5784912109375
-0.9594751000404358,-1249.9073486328125,-374.8785705566406,-74.98918151855469,-500.0909729003906,-375.0654602050781,-374.9698791503906,-374.8860168457031
9.194738388061523,-1250.83056640625,-375.2479248046875,-74.9707260131836,-499.63983154296875,-374.91162109375,-375.1545715332031,-375.3780212402344
3.5329949855804443,-1249.599609375,-375.0632629394531,-75.01993560791016,-499.9679260253906,-374.91162109375,-375.00067138671875,-375.2550354003906
5.994622707366943,-1250.0098876953125,-375.12481689453125,-75.04454040527344,-499.8448791503906,-374.63470458984375,-374.66204833984375,-375.0397644042969
-7.913572788238525,-1249.8046875,-374.9401550292969,-75.01993560791016,-500.0499572753906,-374.91162109375,-374.9390869140625,-375.0705261230469
25.34916877746582,-1251.2408447265625,-375.032470703125,-74.99533081054688,-499.9269104003906,-374.91162109375,-375.21612548828125,-375.0705261230469
-2.651844024658203,-1251.1383056640625,-375.1863708496094,-75.00763702392578,-499.80389404296875,-374.7885437011719,-374.84674072265625,-375.009033203125
24.518369674682617,-1251.4459228515625,-375.0632629394531,-74.98918151855469,-499.8858947753906,-374.8193054199219,-375.1853332519531,-375.009033203125
5.5022969245910645,-1250.420166015625,-375.032470703125,-74.98918151855469,-499.8448791503906,-375.0346984863281,-375.4316101074219,-375.16278076171875
7.963924407958984,-1249.8046875,-375.032470703125,-75.02608489990234,-500.2960205078125,-375.3731689453125,-375.4316101074219,-375.16278076171875
0.7944344878196716,-1249.8046875,-374.9401550292969,-75.00763702392578,-500.2140197753906,-375.3731689453125,-375.1853332519531,-374.82452392578125
-12.221421241760254,-1248.984130859375,-374.7554626464844,-75.01378631591797,-500.3780517578125,-375.12701416015625,-375.123779296875,-374.947509765625
2.3021812438964844,-1249.9073486328125,-374.9401550292969,-74.98302459716797,-500.1319885253906,-375.3424072265625,-375.3084716796875,-374.82452392578125
3.102210283279419,-1250.0098876953125,-374.9709167480469,-74.9707260131836,-499.8448791503906,-374.9423828125,-375.0929870605469,-375.009033203125
25.041465759277344,-1251.1383056640625,-375.0632629394531,-75.01378631591797,-499.8858947753906,-374.9423828125,-375.123779296875,-375.0705261230469
5.779230117797852,-1250.420166015625,-375.001708984375,-74.98918151855469,-500.0089416503906,-375.3116149902344,-375.3392639160156,-375.0705261230469
-1.8825854063034058,-1249.8046875,-375.0632629394531,-75.02608489990234,-499.9679260253906,-374.91162109375,-374.84674072265625,-374.8860168457031
5.19459342956543,-1249.9073486328125,-375.001708984375,-75.03224182128906,-500.3370361328125,-374.97314453125,-374.6004943847656,-374.79376220703125
23.810651779174805,-1251.2408447265625,-375.0632629394531,-75.01378631591797,-499.8858947753906,-374.880859375,-374.9083251953125,-375.1012878417969
-0.9902454614639282,-1249.8046875,-374.90936279296875,-75.01378631591797,-500.0909729003906,-375.0346984863281,-374.8775329589844,-374.9167785644531
