TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
2297.134033203125,21.865427017211914,2297.134033203125,2297.134033203125,2297.134033203125,2297.134033203125,2297.134033203125,24.59174919128418,2297.134033203125,2297.134033203125,2297.134033203125,2297.134033203125,2297.134033203125,2297.134033203125
2297.232421875,21.855731964111328,2297.232421875,2297.232421875,2297.232421875,2297.232421875,2297.232421875,24.6185359954834,2297.232421875,2297.232421875,2297.232421875,2297.232421875,2297.232421875,2297.232421875
2297.39404296875,21.912471771240234,2297.39404296875,2297.39404296875,2297.39404296875,2297.39404296875,2297.39404296875,24.733736038208008,2297.39404296875,2297.39404296875,2297.39404296875,2297.39404296875,2297.39404296875,2297.39404296875
2297.158203125,21.818126678466797,2297.158203125,2297.158203125,2297.158203125,2297.158203125,2297.158203125,24.5761775970459,2297.158203125,2297.158203125,2297.158203125,2297.158203125,2297.158203125,2297.158203125
2297.3564453125,21.899097442626953,2297.3564453125,2297.3564453125,2297.3564453125,2297.3564453125,2297.3564453125,24.6689453125,2297.3564453125,2297.3564453125,2297.3564453125,2297.3564453125,2297.3564453125,2297.3564453125
2297.379150390625,22.02645492553711,2297.379150390625,2297.379150390625,2297.379150390625,2297.379150390625,2297.379150390625,24.62225914001465,2297.379150390625,2297.379150390625,2297.379150390625,2297.379150390625,2297.379150390625,2297.379150390625
2297.391357421875,21.936992645263672,2297.391357421875,2297.391357421875,2297.391357421875,2297.391357421875,2297.391357421875,24.746660232543945,2297.391357421875,2297.391357421875,2297.391357421875,2297.391357421875,2297.391357421875,2297.391357421875
2297.23193359375,21.897397994995117,2297.23193359375,2297.23193359375,2297.23193359375,2297.23193359375,2297.23193359375,24.63564109802246,2297.23193359375,2297.23193359375,2297.23193359375,2297.23193359375,2297.23193359375,2297.23193359375
2297.39013671875,21.951828002929688,2297.39013671875,2297.39013671875,2297.39013671875,2297.39013671875,2297.39013671875,24.69870376586914,2297.39013671875,2297.39013671875,2297.39013671875,2297.39013671875,2297.39013671875,2297.39013671875
2297.36669921875,22.019386291503906,2297.36669921875,2297.36669921875,2297.36669921875,2297.36669921875,2297.36669921875,24.684194564819336,2297.36669921875,2297.36669921875,2297.36669921875,2297.36669921875,2297.36669921875,2297.36669921875
2297.208251953125,21.879837036132812,2297.208251953125,2297.208251953125,2297.208251953125,2297.208251953125,2297.208251953125,24.596895217895508,2297.208251953125,2297.208251953125,2297.208251953125,2297.208251953125,2297.208251953125,2297.208251953125
2297.284423828125,21.886917114257812,2297.284423828125,2297.284423828125,2297.284423828125,2297.284423828125,2297.284423828125,24.645950317382812,2297.284423828125,2297.284423828125,2297.284423828125,2297.284423828125,2297.284423828125,2297.284423828125
2297.278564453125,21.951181411743164,2297.278564453125,2297.278564453125,2297.278564453125,2297.278564453125,2297.278564453125,24.658143997192383,2297.278564453125,2297.278564453125,2297.278564453125,2297.278564453125,2297.278564453125,2297.278564453125
2297.392822265625,21.990955352783203,2297.392822265625,2297.392822265625,2297.392822265625,2297.392822265625,2297.392822265625,24.666675567626953,2297.392822265625,2297.392822265625,2297.392822265625,2297.392822265625,2297.392822265625,2297.392822265625
2297.39599609375,21.8489990234375,2297.39599609375,2297.39599609375,2297.39599609375,2297.39599609375,2297.39599609375,24.671810150146484,2297.39599609375,2297.39599609375,2297.39599609375,2297.39599609375,2297.39599609375,2297.39599609375
2297.46533203125,22.053247451782227,2297.46533203125,2297.46533203125,2297.46533203125,2297.46533203125,2297.46533203125,24.753963470458984,2297.46533203125,2297.46533203125,2297.46533203125,2297.46533203125,2297.46533203125,2297.46533203125
2297.3818359375,21.91998863220215,2297.3818359375,2297.3818359375,2297.3818359375,2297.3818359375,2297.3818359375,24.755538940429688,2297.3818359375,2297.3818359375,2297.3818359375,2297.3818359375,2297.3818359375,2297.3818359375
2297.37841796875,22.045452117919922,2297.37841796875,2297.37841796875,2297.37841796875,2297.37841796875,2297.37841796875,24.71504020690918,2297.37841796875,2297.37841796875,2297.37841796875,2297.37841796875,2297.37841796875,2297.37841796875
2297.40673828125,21.950029373168945,2297.40673828125,2297.40673828125,2297.40673828125,2297.40673828125,2297.40673828125,24.748821258544922,2297.40673828125,2297.40673828125,2297.40673828125,2297.40673828125,2297.40673828125,2297.40673828125
2297.36376953125,21.943391799926758,2297.36376953125,2297.36376953125,2297.36376953125,2297.36376953125,2297.36376953125,24.72189712524414,2297.36376953125,2297.36376953125,2297.36376953125,2297.36376953125,2297.36376953125,2297.36376953125
2297.195556640625,21.805513381958008,2297.195556640625,2297.195556640625,2297.195556640625,2297.195556640625,2297.195556640625,24.632585525512695,2297.195556640625,2297.195556640625,2297.195556640625,2297.195556640625,2297.195556640625,2297.195556640625
2297.349365234375,21.909563064575195,2297.349365234375,2297.349365234375,2297.349365234375,2297.349365234375,2297.349365234375,24.659542083740234,2297.349365234375,2297.349365234375,2297.349365234375,2297.349365234375,2297.349365234375,2297.349365234375
2297.36328125,21.965267181396484,2297.36328125,2297.36328125,2297.36328125,2297.36328125,2297.36328125,24.703575134277344,2297.36328125,2297.36328125,2297.36328125,2297.36328125,2297.36328125,2297.36328125
2297.30224609375,21.913707733154297,2297.30224609375,2297.30224609375,2297.30224609375,2297.30224609375,2297.30224609375,24.644989013671875,2297.30224609375,2297.30224609375,2297.30224609375,2297.30224609375,2297.30224609375,2297.30224609375
