PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-97.32608032226562,-91.57646942138672,-101.4657974243164,-89.5066146850586,-90.19656372070312,-97.32608032226562,-77.31744384765625,-91.80645751953125,108.25556945800781,43.30222702026367,43.30222702026367,-285.9500732421875
-86.7468032836914,-99.16595458984375,-97.32608032226562,-88.356689453125,-98.70598602294922,-93.41634368896484,-88.58667755126953,-98.93596649169922,108.25556945800781,43.30222702026367,43.30222702026367,-286.9049377441406
-98.24601745605469,-112.04507446289062,-84.90692901611328,-104.2256088256836,-99.39593505859375,-86.9767837524414,-102.15574645996094,-96.63612365722656,108.25556945800781,43.30222702026367,43.30222702026367,-285.857666015625
-101.92576599121094,-106.75543975830078,-95.4862060546875,-102.61571502685547,-98.93596649169922,-110.2052001953125,-80.7672119140625,-122.39437103271484,108.25556945800781,43.30222702026367,43.30222702026367,-286.3042907714844
-118.7146224975586,-97.32608032226562,-101.92576599121094,-108.36532592773438,-90.88652038574219,-98.24601745605469,-95.7161865234375,-109.74523162841797,108.25556945800781,43.30222702026367,43.30222702026367,-287.0127258300781
-96.40614318847656,-106.29547119140625,-98.24601745605469,-104.45559692382812,-95.25621795654297,-101.4657974243164,-102.845703125,-89.27662658691406,108.25556945800781,43.30222702026367,43.30222702026367,-286.8587341308594
-101.6957778930664,-109.51525115966797,-85.13690948486328,-101.23580932617188,-101.23580932617188,-104.68557739257812,-86.51681518554688,-87.20677185058594,108.25556945800781,43.30222702026367,43.30222702026367,-286.2580871582031
-104.68557739257812,-91.34648895263672,-105.60551452636719,-92.26642608642578,-93.41634368896484,-98.47599792480469,-80.07725524902344,-104.2256088256836,108.25556945800781,43.30222702026367,43.30222702026367,-286.4429016113281
-87.89672088623047,-98.01602935791016,-95.94617462158203,-90.88652038574219,-92.95637512207031,-85.82686614990234,-81.45716094970703,-93.87631225585938,108.25556945800781,43.30222702026367,43.30222702026367,-286.55072021484375
-95.02623748779297,-85.82686614990234,-93.87631225585938,-95.7161865234375,-85.13690948486328,-84.67694091796875,-77.77741241455078,-89.7365951538086,108.25556945800781,43.30222702026367,43.30222702026367,-287.4285583496094
-77.08745574951172,-91.80645751953125,-86.05684661865234,-82.60708618164062,-79.15731811523438,-78.92733764648438,-78.00739288330078,-75.70755004882812,108.25556945800781,43.30222702026367,43.30222702026367,-286.65850830078125
-75.47756958007812,-94.79624938964844,-82.83706665039062,-91.34648895263672,-75.0176010131836,-79.6172866821289,-61.90849304199219,-80.7672119140625,108.25556945800781,43.30222702026367,43.30222702026367,-285.1030578613281
-72.94773864746094,-98.01602935791016,-85.59687805175781,-91.57646942138672,-66.96814727783203,-93.18636322021484,-61.90849304199219,-79.15731811523438,108.25556945800781,43.30222702026367,43.30222702026367,-285.47265625
-103.76564025878906,-83.75700378417969,-86.7468032836914,-69.26799011230469,-78.23738098144531,-80.9971923828125,-80.53722381591797,-78.92733764648438,108.25556945800781,43.30222702026367,43.30222702026367,-285.5342712402344
-81.91712951660156,-89.27662658691406,-84.67694091796875,-76.62748718261719,-78.69734954833984,-74.09766387939453,-73.40770721435547,-89.27662658691406,108.25556945800781,43.30222702026367,43.30222702026367,-285.5650634765625
-89.5066146850586,-84.44696044921875,-86.05684661865234,-95.94617462158203,-73.17772674560547,-90.42655181884766,-71.56783294677734,-88.81665802001953,108.25556945800781,43.30222702026367,43.30222702026367,-285.3956604003906
-96.40614318847656,-81.91712951660156,-87.20677185058594,-99.16595458984375,-77.31744384765625,-98.47599792480469,-70.18792724609375,-91.34648895263672,108.25556945800781,43.30222702026367,43.30222702026367,-285.33404541015625
-91.80645751953125,-96.8661117553711,-95.4862060546875,-90.88652038574219,-95.25621795654297,-95.02623748779297,-88.81665802001953,-91.11650085449219,108.25556945800781,43.30222702026367,43.30222702026367,-286.56610107421875
-109.74523162841797,-86.51681518554688,-93.64633178710938,-109.74523162841797,-78.00739288330078,-112.50504302978516,-83.06705474853516,-97.78604888916016,108.25556945800781,43.30222702026367,43.30222702026367,-286.7201232910156
-96.8661117553711,-116.64476013183594,-87.20677185058594,-104.68557739257812,-96.8661117553711,-107.67537689208984,-82.3770980834961,-100.31587219238281,108.25556945800781,43.30222702026367,43.30222702026367,-286.8741149902344
-101.00582885742188,-109.9752197265625,-101.4657974243164,-94.79624938964844,-96.8661117553711,-83.06705474853516,-81.68714904785156,-100.08589172363281,108.25556945800781,43.30222702026367,43.30222702026367,-287.5825500488281
-101.92576599121094,-99.62592315673828,-104.91556549072266,-113.65496826171875,-92.72639465332031,-107.21540832519531,-92.95637512207031,-102.38573455810547,108.25556945800781,43.30222702026367,43.30222702026367,-287.2591552734375
-109.05528259277344,-92.49640655517578,-112.50504302978516,-107.67537689208984,-100.08589172363281,-102.38573455810547,-82.1471176147461,-100.31587219238281,108.25556945800781,43.30222702026367,43.30222702026367,-286.3813171386719
-108.36532592773438,-103.99562072753906,-91.80645751953125,-110.66516876220703,-105.37553405761719,-93.64633178710938,-78.00739288330078,-96.8661117553711,108.25556945800781,43.30222702026367,43.30222702026367,-287.12054443359375
-100.08589172363281,-85.82686614990234,-84.67694091796875,-101.92576599121094,-90.42655181884766,-111.3551254272461,-88.81665802001953,-99.85590362548828,108.25556945800781,43.30222702026367,43.30222702026367,-285.9192810058594
-81.91712951660156,-116.41477966308594,-84.90692901611328,-96.17615509033203,-90.19656372070312,-72.94773864746094,-89.7365951538086,-92.03643798828125,108.25556945800781,43.30222702026367,43.30222702026367,-285.90386962890625
-99.39593505859375,-80.30724334716797,-88.58667755126953,-94.56626892089844,-87.66674041748047,-80.9971923828125,-66.2781982421875,-89.27662658691406,108.25556945800781,43.30222702026367,43.30222702026367,-285.6420593261719
-93.87631225585938,-101.92576599121094,-75.0176010131836,-88.126708984375,-61.67850875854492,-84.21697235107422,-78.46736145019531,-89.96658325195312,108.25556945800781,43.30222702026367,43.30222702026367,-284.4562072753906
-76.85747528076172,-91.80645751953125,-91.34648895263672,-76.39750671386719,-89.96658325195312,-66.5081787109375,-69.72795867919922,-88.356689453125,108.25556945800781,43.30222702026367,43.30222702026367,-285.6882629394531
-78.69734954833984,-87.20677185058594,-82.83706665039062,-75.2475814819336,-76.62748718261719,-77.54742431640625,-72.94773864746094,-82.60708618164062,108.25556945800781,43.30222702026367,43.30222702026367,-286.2118835449219
-98.47599792480469,-83.75700378417969,-84.44696044921875,-69.72795867919922,-82.3770980834961,-81.68714904785156,-75.70755004882812,-65.35826110839844,108.25556945800781,43.30222702026367,43.30222702026367,-284.85662841796875
-85.36689758300781,-94.56626892089844,-76.62748718261719,-78.46736145019531,-78.23738098144531,-85.36689758300781,-94.56626892089844,-82.3770980834961,108.25556945800781,43.30222702026367,43.30222702026367,-286.2118835449219
-85.13690948486328,-97.0960922241211,-76.39750671386719,-92.26642608642578,-87.89672088623047,-70.64789581298828,-92.72639465332031,-84.21697235107422,108.25556945800781,43.30222702026367,43.30222702026367,-285.7190856933594
-78.00739288330078,-84.44696044921875,-91.11650085449219,-96.8661117553711,-105.60551452636719,-94.1063003540039,-88.81665802001953,-81.22718048095703,108.25556945800781,43.30222702026367,43.30222702026367,-287.6133728027344
-91.34648895263672,-82.3770980834961,-78.46736145019531,-99.85590362548828,-79.6172866821289,-83.98699188232422,-85.59687805175781,-109.9752197265625,108.25556945800781,43.30222702026367,43.30222702026367,-287.0897521972656
-99.85590362548828,-106.52545166015625,-118.9446029663086,-112.27506256103516,-106.29547119140625,-116.87474822998047,-89.04664611816406,-104.68557739257812,108.25556945800781,43.30222702026367,43.30222702026367,-285.4880676269531
-91.11650085449219,-100.77584075927734,-90.19656372070312,-123.08432006835938,-93.41634368896484,-100.77584075927734,-82.83706665039062,-116.1847915649414,108.25556945800781,43.30222702026367,43.30222702026367,-287.366943359375
-99.62592315673828,-107.44538879394531,-108.5953140258789,-120.09452819824219,-90.65653228759766,-100.77584075927734,-81.68714904785156,-117.79468536376953,108.25556945800781,43.30222702026367,43.30222702026367,-287.8289794921875
-106.75543975830078,-98.24601745605469,-105.83550262451172,-106.29547119140625,-99.16595458984375,-101.23580932617188,-89.7365951538086,-92.26642608642578,108.25556945800781,43.30222702026367,43.30222702026367,-287.41314697265625
-108.13534545898438,-103.76564025878906,-103.99562072753906,-110.66516876220703,-98.93596649169922,-101.4657974243164,-86.51681518554688,-104.2256088256836,108.25556945800781,43.30222702026367,43.30222702026367,-287.0743408203125
