cRIO Slot,Device Type,,,,,,,,,,
1,9476,,,,,,,,,,
2,9203,,,,,,,,,,
3,9203,,,,,,,,,,
4,9264,,,,,,,,,,
5,9205,,,,,,,,,,
6,9205,,,,,,,,,,
7,9205,,,,,,,,,,
8,9213,,,,,,,,,,
,,,,,,,,,,,
P&ID Name,DAQ Input,NI Channel,Device,V/C,Min,Max,Terminal Config,,,,
,DO 12,DO15,Marotta,"1 24 pos, 3 24 neg",,,,,,,
,DO 13,DO18,Marotta,"1 24 pos, 3 24 neg",,,,,,,
,DO 14,DO20,Marotta,"1 24 pos, 3 24 neg",,,,,,,
,DO 15,DO6,Magnatrol,"1 120 pos, 3 120 neg",,,,,,,
,DO 16,DO5,ASCO,"1 120 pos, 3 120 neg",,,,,,,
,DO 17,DO4,ASCO,"1 120 pos, 3 120 neg",,,,,,,
,DO 18,DO7,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,
,DO 19,DO9,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,
,DO 20,DO8,Peter Paul EH22,"1 12 pos, 3 12 neg",,,,,,,
,DO 21,DO11,Peter Paul H22,"1 24 pos, 3 24 neg",,,,,,,
,DO 22,DO10,Peter Paul 122,"1 24 pos, 3 24 neg",,,,,,,
