cRIO Slot,Device Type,,,,,,,,,,,,,,,,
1,9476,,,,,,,,,,,,,,,,
2,9203,,,,,,,,,,,,,,,,
3,9203,,,,,,,,,,,,,,,,
4,9264,,,,,,,,,,,,,,,,
5,9205,,,,,,,,,,,,,,,,
6,9205,,,,,,,,,,,,Scal Offset * ((MaxVal - MinVal)/(MaxOut-MinOut)) * (raw_val - min_out) + Lin Offset,,,,
7,9205,,,,,,,,,,,,,,,,
8,9213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P&ID Name,DAQ Input,NI Channel,Device,V/C,MinOut,MaxOut,Terminal Config,"MinVal (Pressure, force, etc.)",MaxVal,Units,Lin Offset,Scal Offset,,,,,
,AI 40,NI9205_2_16,NC,V,0,5,NRSE,,,PoundsPerSquareInch,0,1,"1 24 pos, 3 signal, 4 24 neg",,Swapped to 1.5k MMSG?,,
PT_N2_15,AI 41,NI9203_2_02,GP50,C,4,20,,0,300,PoundsPerSquareInch,75,1,"1 24 pos, 4 signal",,,,
PT_N2_16,AI 42,NI9203_2_03,GP50,C,4,20,,0,300,PoundsPerSquareInch,75,1,"1 24 pos, 4 signal",,,,
PT_N2_17,AI 43,NI9203_2_07,GP50,C,4,20,,0,300,PoundsPerSquareInch,74.99,1,"1 24 pos, 4 signal",,,,
PT_N2_19,AI 44,NI9203_1_01,GP50,C,4,20,,0,300,PoundsPerSquareInch,75,1,"1 24 pos, 4 signal",,,,
,AI 45,,NC,C,4,20,,,,PoundsPerSquareInch,0,1,"1 24 pos, 4 signal",,Swapped to 1.5k MMSG?,,
PT_FU_01_1,AI 46,NI9203_1_02,ST1550,C,4,20,,0,2000,PoundsPerSquareInch,500,1,"1 24 pos, 4 signal",SPEC SHEET?,,,
PT_FU_01_2,AI 47,NI9203_2_06,ST1550,C,4,20,,0,2000,PoundsPerSquareInch,499.9,1,"1 24 pos, 4 signal",SPEC SHEET?,,,
PT_LO2_03,AI 48,NI9205_3_01,druck,V,0,10,Diff,0,507.6,PoundsPerSquareInch,-0.5,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg,",,,,
PT_LO2_04,AI 49,NI9205_3_02,druck,V,0,10,Diff,0,507.6,PoundsPerSquareInch,-0.5,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg ",,,,
PT_TI_01,AI 50,NI9205_3_00,druck,V,0,10,Diff,0,507.6,PoundsPerSquareInch,-21.474,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,,
PT_GG_02,AI 51,NI9205_1_22,Kulite,V,0,0.075,Diff,0,1000,PoundsPerSquareInch,-830,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",Need to wire kulite,,,
PT_GG_01,AI 52,NI9205_3_04,druck,V,0,10,Diff,0,507.6,PoundsPerSquareInch,-21.47,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,,
PT_FU_04,AI 53,NI9205_3_03,druck,V,0,10,Diff,0,507.6,PoundsPerSquareInch,-21.47,1,"1 12 pos, 2 signal+, 3 signal-, 4 12 neg",,,,
PT_LO2_05,AI 54,NI9203_1_03,MMSG1.5K,C,4,20,,0,1500,PoundsPerSquareInch,375,1,"1 24+, 4 signal",,,,
PT_GO2_05,AI 55,NI9203_2_04,MMSG1.5K,C,4,20,,0,1500,PoundsPerSquareInch,-8,1,"1 24+, 4 signal",Sinking not sourcing,,,
Accel_AI,AI,NI9205_3_06,Accel AI,V,1.5,3.5,Diff,-100,100,g,120,1,,,,,
PT_N2_06,AI,NI9203_1_07,MMSG1.5k,C,4,20,,0,1500,PoundsPerSquareInch,375.05,1,EREG PT,,,,
