PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-82.83706665039062,-63.97835159301758,-63.97835159301758,-73.40770721435547,-47.18949508666992,-57.768775939941406,-52.24915313720703,-66.04821014404297,108.25556945800781,43.30222702026367,43.30222702026367,-284.7950439453125
-60.75857162475586,-73.17772674560547,-68.34805297851562,-60.29860305786133,-71.56783294677734,-49.02936935424805,-51.559200286865234,-66.73816680908203,108.25556945800781,43.30222702026367,43.30222702026367,-284.6410217285156
-65.81822967529297,-69.03800964355469,-68.34805297851562,-63.97835159301758,-68.57804107666016,-51.0992317199707,-51.32921600341797,-66.04821014404297,108.25556945800781,43.30222702026367,43.30222702026367,-284.4562072753906
-70.41791534423828,-79.15731811523438,-58.918697357177734,-71.79782104492188,-44.19969940185547,-43.73973083496094,-44.429683685302734,-46.499542236328125,108.25556945800781,43.30222702026367,43.30222702026367,-286.07330322265625
-57.07882308959961,-73.6376953125,-72.2577896118164,-60.75857162475586,-73.86767578125,-51.0992317199707,-51.32921600341797,-67.8880844116211,108.25556945800781,43.30222702026367,43.30222702026367,-284.48699951171875
-54.31901168823242,-90.19656372070312,-61.90849304199219,-76.39750671386719,-75.2475814819336,-58.4587287902832,-77.77741241455078,-58.68871307373047,108.25556945800781,43.30222702026367,43.30222702026367,-285.9500732421875
-58.22874450683594,-87.20677185058594,-64.66830444335938,-80.53722381591797,-77.77741241455078,-61.67850875854492,-71.33785247802734,-68.11807250976562,108.25556945800781,43.30222702026367,43.30222702026367,-285.4418640136719
-91.11650085449219,-68.57804107666016,-79.3873062133789,-91.57646942138672,-58.918697357177734,-88.126708984375,-63.058414459228516,-80.07725524902344,108.25556945800781,43.30222702026367,43.30222702026367,-285.1800537109375
-79.3873062133789,-90.19656372070312,-69.72795867919922,-83.52702331542969,-74.55763244628906,-80.9971923828125,-65.1282730102539,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-284.517822265625
-89.27662658691406,-76.62748718261719,-84.21697235107422,-92.95637512207031,-68.57804107666016,-99.62592315673828,-69.26799011230469,-87.66674041748047,108.25556945800781,43.30222702026367,43.30222702026367,-285.3802490234375
-101.00582885742188,-87.66674041748047,-89.04664611816406,-94.79624938964844,-72.94773864746094,-84.21697235107422,-74.09766387939453,-73.17772674560547,108.25556945800781,43.30222702026367,43.30222702026367,-285.3494567871094
-101.00582885742188,-80.30724334716797,-84.21697235107422,-96.40614318847656,-70.41791534423828,-85.36689758300781,-76.85747528076172,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-285.7190856933594
-85.59687805175781,-89.27662658691406,-72.2577896118164,-94.1063003540039,-73.40770721435547,-77.54742431640625,-80.07725524902344,-72.71775817871094,108.25556945800781,43.30222702026367,43.30222702026367,-286.1502990722656
-82.1471176147461,-75.0176010131836,-80.9971923828125,-89.04664611816406,-64.43832397460938,-94.1063003540039,-66.04821014404297,-83.75700378417969,108.25556945800781,43.30222702026367,43.30222702026367,-285.5496520996094
