PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
-15.913862228393555,-1251.753662109375,-375.3402404785156,-74.97687530517578,-499.55780029296875,-374.63470458984375,-375.2469177246094,-375.3472900390625
3.779157876968384,-1249.599609375,-374.90936279296875,-75.00763702392578,-500.2550354003906,-375.3731689453125,-375.2776794433594,-374.8552551269531
-12.898368835449219,-1248.984130859375,-374.7862548828125,-75.04454040527344,-500.3780517578125,-374.97314453125,-375.00067138671875,-374.947509765625
7.779302597045898,-1250.420166015625,-375.2479248046875,-75.01378631591797,-499.72186279296875,-374.69622802734375,-375.1545715332031,-375.4395446777344
3.5022246837615967,-1249.599609375,-374.8785705566406,-74.98918151855469,-499.9269104003906,-374.97314453125,-375.0929870605469,-375.2242736816406
1.1944489479064941,-1249.9073486328125,-375.0940246582031,-75.03224182128906,-500.0909729003906,-374.97314453125,-374.9083251953125,-374.9167785644531
10.794795989990234,-1250.5228271484375,-375.2479248046875,-75.00148010253906,-499.68084716796875,-374.880859375,-375.1853332519531,-375.2550354003906
-13.913789749145508,-1250.317626953125,-375.001708984375,-75.00148010253906,-499.8448791503906,-374.69622802734375,-374.63128662109375,-374.6707458496094
-1.3594895601272583,-1249.599609375,-374.8478088378906,-74.98918151855469,-499.8448791503906,-374.9423828125,-374.8775329589844,-374.8860168457031
5.133052825927734,-1250.420166015625,-375.032470703125,-74.98918151855469,-499.8858947753906,-374.880859375,-374.9390869140625,-374.947509765625
3.5329949855804443,-1250.420166015625,-375.0632629394531,-75.01378631591797,-500.1730041503906,-375.0346984863281,-375.123779296875,-375.009033203125
25.903034210205078,-1251.2408447265625,-375.0632629394531,-75.00148010253906,-499.8858947753906,-374.91162109375,-375.00067138671875,-375.009033203125
23.102933883666992,-1251.2408447265625,-375.2171325683594,-75.00763702392578,-500.0089416503906,-374.880859375,-375.03143310546875,-375.1012878417969
19.56434440612793,-1250.317626953125,-375.032470703125,-74.99533081054688,-500.0089416503906,-375.09625244140625,-374.9698791503906,-374.9167785644531
21.533645629882812,-1250.420166015625,-375.032470703125,-74.98918151855469,-499.9269104003906,-375.0346984863281,-375.0929870605469,-375.009033203125
-0.43637925386428833,-1248.7789306640625,-374.66314697265625,-74.94612121582031,-499.55780029296875,-374.5731506347656,-374.47735595703125,-374.76300048828125
6.333096504211426,-1249.8046875,-375.12481689453125,-75.03839111328125,-500.1319885253906,-374.69622802734375,-374.5697021484375,-374.947509765625
4.394564628601074,-1250.215087890625,-375.37103271484375,-75.00763702392578,-500.0909729003906,-374.880859375,-374.8775329589844,-375.13201904296875
7.471599102020264,-1250.215087890625,-375.2479248046875,-75.02608489990234,-499.8448791503906,-374.69622802734375,-374.75439453125,-375.19354248046875
9.163968086242676,-1251.03564453125,-375.032470703125,-74.97687530517578,-499.59881591796875,-374.63470458984375,-374.63128662109375,-374.978271484375
9.71783447265625,-1251.03564453125,-374.9401550292969,-74.9522705078125,-499.76287841796875,-375.18853759765625,-375.4316101074219,-375.0397644042969
11.717906951904297,-1251.03564453125,-375.12481689453125,-74.95841979980469,-499.55780029296875,-374.66546630859375,-375.03143310546875,-375.3472900390625
-21.452524185180664,-1250.5228271484375,-375.46337890625,-75.03839111328125,-499.8448791503906,-374.6039123535156,-374.47735595703125,-375.13201904296875
-2.8056957721710205,-1250.1124267578125,-374.90936279296875,-75.05684661865234,-500.0909729003906,-374.5423889160156,-375.123779296875,-375.3780212402344
