TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
2296.536376953125,21.87201690673828,2296.536376953125,2296.536376953125,2296.536376953125,2296.536376953125,2296.536376953125,24.50533103942871,2296.536376953125,2296.536376953125,2296.536376953125,2296.536376953125,2296.536376953125,2296.536376953125
2296.60986328125,21.901588439941406,2296.60986328125,2296.60986328125,2296.60986328125,2296.60986328125,2296.60986328125,24.501605987548828,2296.60986328125,2296.60986328125,2296.60986328125,2296.60986328125,2296.60986328125,2296.60986328125
2296.46728515625,21.800540924072266,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,24.503023147583008,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625,2296.46728515625
2296.612548828125,21.84541893005371,2296.612548828125,2296.612548828125,2296.612548828125,2296.612548828125,2296.612548828125,24.51410484313965,2296.612548828125,2296.612548828125,2296.612548828125,2296.612548828125,2296.612548828125,2296.612548828125
2296.515625,21.867603302001953,2296.515625,2296.515625,2296.515625,2296.515625,2296.515625,24.537158966064453,2296.515625,2296.515625,2296.515625,2296.515625,2296.515625,2296.515625
2296.567626953125,21.851808547973633,2296.567626953125,2296.567626953125,2296.567626953125,2296.567626953125,2296.567626953125,24.457712173461914,2296.567626953125,2296.567626953125,2296.567626953125,2296.567626953125,2296.567626953125,2296.567626953125
2296.629150390625,21.932605743408203,2296.629150390625,2296.629150390625,2296.629150390625,2296.629150390625,2296.629150390625,24.495166778564453,2296.629150390625,2296.629150390625,2296.629150390625,2296.629150390625,2296.629150390625,2296.629150390625
2296.5234375,21.8647403717041,2296.5234375,2296.5234375,2296.5234375,2296.5234375,2296.5234375,24.515378952026367,2296.5234375,2296.5234375,2296.5234375,2296.5234375,2296.5234375,2296.5234375
2296.624755859375,21.901851654052734,2296.624755859375,2296.624755859375,2296.624755859375,2296.624755859375,2296.624755859375,24.568323135375977,2296.624755859375,2296.624755859375,2296.624755859375,2296.624755859375,2296.624755859375,2296.624755859375
2296.53662109375,21.940471649169922,2296.53662109375,2296.53662109375,2296.53662109375,2296.53662109375,2296.53662109375,24.477861404418945,2296.53662109375,2296.53662109375,2296.53662109375,2296.53662109375,2296.53662109375,2296.53662109375
2296.44140625,21.80624771118164,2296.44140625,2296.44140625,2296.44140625,2296.44140625,2296.44140625,24.412487030029297,2296.44140625,2296.44140625,2296.44140625,2296.44140625,2296.44140625,2296.44140625
2296.365234375,21.855098724365234,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375,24.414836883544922,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375
2296.54296875,21.86109161376953,2296.54296875,2296.54296875,2296.54296875,2296.54296875,2296.54296875,24.577503204345703,2296.54296875,2296.54296875,2296.54296875,2296.54296875,2296.54296875,2296.54296875
2296.4462890625,21.79323387145996,2296.4462890625,2296.4462890625,2296.4462890625,2296.4462890625,2296.4462890625,24.399272918701172,2296.4462890625,2296.4462890625,2296.4462890625,2296.4462890625,2296.4462890625,2296.4462890625
2296.365234375,21.747188568115234,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375,24.378259658813477,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375,2296.365234375
