,P&ID Name,Model,Datasheet,Schematic,Voltage Inp,Current Req,Notes,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,DAQ Connector,Hardware Connector,Connector Reasoning,Connector Docs,Has Connector?,Is Wire and Connector Done?,Can it be 8ft?,,
PTs,,,,,,PT Type,,,,,,,,,,,,,,,,,
,PT-N2-15,GP50 7200-8100,https://gp50.com/wp-content/uploads/2023/12/A5SL-069_7200_AERO_RwJ.pdf,,24v,Current,,700731,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FKTtKI9AhE1hHJ-z0n-ZSShd9zs8WCxxSZvh7l8kqIo/edit?usp=sharing,Y,,,done,
,PT-N2-16,GP50 7200-8100,https://gp50.com/wp-content/uploads/2023/12/A5SL-069_7200_AERO_RwJ.pdf,,24v,Current,,700732,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FKTtKI9AhE1hHJ-z0n-ZSShd9zs8WCxxSZvh7l8kqIo/edit?usp=sharing,Y,,,done,
,PT-N2-08,GT2250-1500G-125,https://www.stellartech.com/media/GT2250.pdf,,24v,Current,,88322,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1R52ojZ4hFE8rY0DFkLqdVMQ4tUVdcZN7b-hKzo87ml4/edit?usp=sharing,Y,Yes(8ft),,,
,PT-N2-17,GP50 7200-8100,https://gp50.com/wp-content/uploads/2023/12/A5SL-069_7200_AERO_RwJ.pdf,,24v,Current,,700733,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FKTtKI9AhE1hHJ-z0n-ZSShd9zs8WCxxSZvh7l8kqIo/edit?usp=sharing,Y,,Y,done,
,PT-N2-19,GP50 7200-8100,https://gp50.com/wp-content/uploads/2023/12/A5SL-069_7200_AERO_RwJ.pdf,,24v,Current,,700734,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1FKTtKI9AhE1hHJ-z0n-ZSShd9zs8WCxxSZvh7l8kqIo/edit?usp=sharing,Y,,Y,done,
,PT-FU-01-1,ST1550-2000A-180,https://www.stellartech.com/media/ST15XX.pdf,,24v,Current,,2002758,,,,,,,GX16 4 pin,D38999/26MA35SN (Amphenol 6 pin),,https://docs.google.com/document/d/1We9XvvsNhyoKenzu8nrVI3CBEq4DSjahkbCJbuBalXc/edit?tab=t.0,Y,Yes(8ft),,,
,PT-FU-01-2,ST1550-2000A-180,https://www.stellartech.com/media/ST15XX.pdf,,24v,Current,,2003864,,,,,,,GX16 4 pin,D38999/26MA35SN (Amphenol 6 pin),,https://docs.google.com/document/d/1We9XvvsNhyoKenzu8nrVI3CBEq4DSjahkbCJbuBalXc/edit?tab=t.0,Y,Yes(8ft),,,
,PT-N2-12,MMSG1.5KC1P4D1T3A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,24v,Current,,473656,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1baeHK27YqX26ImMvQpznYM4p7AA2MErYiVkFYtqPNuw/edit?tab=t.0,Y,Yes(8ft),,,done
,PT-GO2-05,MMSG1.5KC1P4D1T3A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,24v,Current,,477198,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1baeHK27YqX26ImMvQpznYM4p7AA2MErYiVkFYtqPNuw/edit?tab=t.0,Y,Yes(8ft),,,done
,PT-GO2-04-1,MMSG1.5KC1P4D1T3A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,24v,Current,,477187,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1baeHK27YqX26ImMvQpznYM4p7AA2MErYiVkFYtqPNuw/edit?tab=t.0,Y,Yes(8ft),,,done
,PT-H2-03,ST1500-10000G-146,https://www.stellartech.com/media/ST150.pdf,,12v,Voltage ,3 mV/V,15483,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1MlrJ2WhHTPY-AoixR28WWGBQmXfK9hQFZAt1BGtEaQU/edit?tab=t.0,Y,,,,
,PT-FU-02,MMSG1.5KC1P4D1T3A5,https://rspsupply.com/images/downloads/Omega/M/Omega%20MMSG1.5KC1P1C1T4A4CEP/Information%20Sheet.pdf,,24v,Current,,461641,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/1baeHK27YqX26ImMvQpznYM4p7AA2MErYiVkFYtqPNuw/edit?tab=t.0,Y,Yes(8ft),,,done
,11x more PTs for Turbopump,,,,,,,,,,,,,,,,,,,,,,
,,XTEL-190,https://kulite.com//assets/media/2017/06/XTEL-190.pdf,,,,,,,,,,,,,Flying leads,,,,,,,
,PT-LO2-03,Druck UNIK 5000 PMP 50A6-TA-A3-CA-H0-PV,https://dam.bakerhughes.com/m/ab766f7142a241d/original/Druck-UNIK5000-Pressure-Sensing-Platform-Datasheet-EN.pdf?utm_source=chatgpt.com,,12v,Voltage,Outputs 0 - 10 V,,,,,,,,"GX16 4 pin

",Demountable MIL-C-26482 (6-pin Shell Size 10,,https://docs.google.com/document/d/1h9aPLRNinvWrhvxl_MabbhVBTz8ddsUK6YjT69Pp8B4/edit?tab=t.0,,,Y,,
,PT-FU-05,PCB Electronics 1501B03FJ1KPSIS,https://www.pcb.com/contentstore/docs/PCB_Corporate/Pressure/products/specsheets/1501B03FJ1KPSIS_A.pdf,,,,,,,,,,,,GX16 3 pin,3-Pin MIL-C-5015 https://milspecwest.com/wp-content/uploads/5015-STYLE-CATALOG.pdf,,https://docs.google.com/document/d/1GOf2bHHmoBEpxhfS2Xp8Dw3FsZ7gfGJ9B6Jzwa2YpqU/edit?tab=t.0,,,,,
